Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
id,"Belvo's unique identifier for the current item.
",0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,No,No,,
created_at,"The ISO-8601 timestamp of when the data point was created in Belvo's database.
",2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
collected_at,"The ISO-8601 timestamp when the data point was collected.
",2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
account,"Details regarding the account.
",,object,,No,Yes,,
account.id,"Belvo's unique identifier for the current item.
",0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,Yes,No,,
account.link,The `link.id` the data belongs to.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,Yes,Yes,,
account.institution,Details regarding the institution.,,object,,Yes,No,,
account.institution.name,"The name of the institution, as designated by Belvo.

Please see our <a href=""https://developers.belvo.com/docs/institution"" target=""_blank"">Institutions</a> DevPortal article for a detailed list of institution names.
",erebor_mx_retail,string,,No,No,,
account.institution.type,"The type of institution. We return one of the following values:

  - `bank`
  - `fiscal`
  - `employment`
",,string,,No,No,"bank, fiscal, employment",
account.collected_at,"The ISO-8601 timestamp when the data point was collected.
",2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
account.created_at,"The ISO-8601 timestamp of when the data point was created in Belvo's database.
",2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
account.last_accessed_at,"The ISO-8601 timestamp of Belvo's most recent successful access to the institution for the given link.
",2021-03-09T10:28:40.000Z,string,date-time,Yes,Yes,,
account.category,"The type of account.
We return one of the following enum values:
  - `ADVANCE_DEPOSIT_ACCOUNT`
  - `CHECKING_ACCOUNT`
  - `CREDIT_CARD`
  - `FINANCING_ACCOUNT`
  - `INVESTMENT_ACCOUNT`
  - `INVOICE_FINANCING_ACCOUNT`
  - `LOAN_ACCOUNT`
  - `PENSION_FUND_ACCOUNT`
  - `SAVINGS_ACCOUNT`
  - `UNCATEGORIZED`
",CHECKING_ACCOUNT,string,,Yes,Yes,"ADVANCE_DEPOSIT_ACCOUNT, CHECKING_ACCOUNT, CREDIT_CARD, FINANCING_ACCOUNT, INVESTMENT_ACCOUNT, INVOICE_FINANCING_ACCOUNT, LOAN_ACCOUNT, PENSION_FUND_ACCOUNT, SAVINGS_ACCOUNT, UNCATEGORIZED",
account.balance_type,"Indicates whether this account is either an `ASSET` or a `LIABILITY`. You can consider the balance of an `ASSET` as being positive, while the balance of a `LIABILITY` as negative.
",ASSET,string,,Yes,Yes,,
account.overdraft,,,object,,No,Yes,,
account.overdraft.arranged,"The agreed upon overdraft limit between the account holder and the institution.

> **Non-nullable:** A value must be returned by Brazil's open finance network if the `overdraft` field is available.
",5000.5,number,float,Yes,No,,"^\d{1,15}\.\d{2,4}$"
account.overdraft.used,"The overdraft value used.

> **Non-nullable:** A value must be returned by Brazil's open finance network if the `overdraft` field is available.
",1000.5,number,float,Yes,No,,"^\d{1,15}\.\d{2,4}$"
account.overdraft.unarranged,"The overdraft used that was not arranged between the account holder and the institution.

> **Non-nullable:** A value must be returned by Brazil's open finance network if the `overdraft` field is available.
",300.1,number,float,Yes,No,,"^\d{1,15}\.\d{2,4}$"
account.type,"The account type, as designated by the institution.

> **Non-nullable:** A value must be returned by Brazil's open finance network.
",STANDARD_NACIONAL,string,,Yes,No,,
account.subtype,"The account subtype, as designated by the institution.

> **Non-nullable:** A value must be returned by Brazil's open finance network.
",FINANCIAMENTO_HABITACIONAL_SFH,string,,Yes,No,,
account.name,"The account name, as given by the institution.",Cuenta Perfiles- M.N. - MXN-666,string,,Yes,Yes,,
