Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
id,"Belvo's unique identifier for the current item.
",0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,No,No,,
link,The `link.id` the data belongs to.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,No,Yes,,
collected_at,"The ISO-8601 timestamp when the data point was collected.
",2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
created_at,"The ISO-8601 timestamp of when the data point was created in Belvo's database.
",2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
investment,,,object,,No,No,,
investment.id,The unique identifier created by Belvo used to reference the current investment.,5359ddc5-31fc-4346-934b-cc24630a8d06,string,uuid,No,No,,
investment.type,"The type of investment: Can be either

  - `FIXED_INCOME_BANKING` (*Renda Fixa Bancária*)
  - `FIXED_INCOME_CREDIT` (*Renda Fixa Crédito*)
  - `VARIABLE_INCOME` (*Renda Variável*)
  - `TREASURY_BOND` (*Tesouro Direto*)
  - `INVESTMENT_FUND` (*Fundos de Investimento*)
",FIXED_INCOME_BANKING,string,,No,No,,
investment.issuer_id_number,"The CNPJ number of the issuing institution. For Investment Funds, this is the CNPJ of the fund.

> 🚧 Not applicable for `TREASURY_BOND` investments.
",10187609364567,string,,No,Yes,,^\d{14}$
investment.isin_number,"The ISO-6166 International Securities Identification Number (ISIN) for the financial instrument.
",BRCST4CTF001,string,,No,Yes,,‘^[A-Z]{2}([A-Z0-9]){9}\d{1}$’
investment.currency,"The three-letter currency code (ISO-4217) of the investment. For example, `BRL` for Brazilian Real.
",BRL,string,,No,No,,^[A-Z]{3}$
investment.product_name,"The name of the investment product.

- For `FIXED_INCOME_BANKING`, this can be: CDB, RDB, LCI, or LCA.
- For `FIXED_INCOME_CREDIT`, this can be: DEBENTURES, CRI, or CRA.
- For `INVESTMENT_FUND`, this will be the name of the fund. For example: CONSTELLATION MASTER FIA
- For `TREASURY_BOND`, this will be the name of the bond. For example: Tesouro Selic 2025.
- For `VARIABLE_INCOME_INCOME`, this will be the name of the stock. For example AAPL.
",CONSTELLATION MASTER FIA,string,,No,No,,
investment.is_tax_exempt,"Indicates if the investment is exempt from taxes.

> 🚧 Only applicable for `FIXED_INCOME_CREDIT` investments.
",False,boolean,,No,No,,
investment.clearing_code,"The clearing code of the investment.

> 🚧 Only applicable for `FIXED_INCOME_BANKING` and `FIXED_INCOME_CREDIT`.
",CDB421GPXXX,string,,No,Yes,,[\w\W-]*
investment.due_date,"The maturity date of the financial instrument. 

> 🚧 Only applicable for `FIXED_INCOME_BANKING`, `FIXED_INCOME_CREDIT`, and `TREASURY_BOND` investments.
",2022-01-01,string,date,No,Yes,,
investment.issue_date,"The date the financial instrument was issued.

> 🚧 Only applicable for `FIXED_INCOME_BANKING` and `FIXED_INCOME_CREDIT`.
",2021-01-01,string,date,No,Yes,,
investment.purchase_date,"The date the financial instrument was purchased.

> 🚧 Only applicable for `FIXED_INCOME_BANKING`, `FIXED_INCOME_CREDIT`, and `TREASURY_BOND` investments.
",2021-01-01,string,date,No,Yes,,
investment.grace_period_date,"The grace period date of the financial instrument.

> 🚧 Only applicable for `FIXED_INCOME_BANKING` and `FIXED_INCOME_CREDIT`.
",2021-01-01,string,date,No,Yes,,
investment.issue_unit_price,"The unit price of the financial instrument at the time of issuance.

> 🚧 Only applicable for `FIXED_INCOME_BANKING` and `FIXED_INCOME_CREDIT`.
",1000,number,float,No,Yes,,
investment.balance,"The balance of the investment instrument, as of the `reference_date`.
",,object,,No,No,,
investment.balance.reference_date,"The date and time that the balance was calculated for the investment instrument, in `YYYY-MM-DDTHH:MM:SSZ` format.
",2022-07-21T17:32:00Z,string,date-time,No,No,,
investment.balance.gross_value,The gross value of the investment instrument.,1000,number,float,No,No,,
investment.balance.blocked_amount,The amount of the investment instrument that is blocked or unavailable for transactions.,100,number,float,No,No,,
investment.balance.quantity,"The number of units, quotas, or assets held on the reference date.",100,number,float,No,No,,"‘^-?\d{1,15}\.\d{2,8}$’"
investment.balance.gross_unit_price,The current gross unit value of the investment on the reference date,10,number,float,No,Yes,,"‘^-?\d{1,15}\.\d{2,8}$’"
investment.balance.net_value,"The net value of the investment after deductions for taxes, fees, and other charges, as of the reference date.",900,number,float,No,Yes,,"‘^-?\d{1,15}\.\d{2,8}$’"
investment.balance.withheld_amount,The amount of the investment instrument that has been withheld or deducted from the net value.,10,number,float,No,Yes,,"‘^\d{1,15}\.\d{2,4}$’"
investment.balance.transaction_fee,The fees and taxes charged for the transaction.,5,number,float,No,Yes,,"‘^\d{1,15}\.\d{2,4}$’"
investment.balance.purchase_unit_price,The unit price at the time of purchase for the security or asset.,10,number,float,No,Yes,,"‘^\d{1,15}\.\d{2,4}$’"
investment.balance.pre_fixed_rate,The pre-fixed remuneration rate for the income product.,0.05,number,float,No,Yes,,‘^\d{1}\.\d{6}$’
investment.balance.post_fixed_rate,The percentage of the post-fixed indexer for the income product.,0.05,number,float,No,Yes,,‘^\d{1}\.\d{6}$’
investment.balance.penalty_fee,"The penalty (fine) for delays in payments, as defined in the contract.",10,number,float,No,Yes,,"‘^\d{1,15}\.\d{2,4}$’"
investment.balance.late_payment_fee,The interest charged for delayed payments.,10,number,float,No,Yes,,"‘^\d{1,15}\.\d{2,4}$’"
investment.balance.closing_price,The closing price of the investment on the reference date.,10,number,float,No,Yes,,"‘^-?\d{1,15}\.\d{2,8}$’"
investment.balance.unit_price_factor,The factor used to calculate the unit price.,1,number,float,No,Yes,,"‘^\d{1,15}\.\d{2,4}$’"
investment.remuneration,"The remuneration details of the investment instrument.
",,object,,No,No,,
investment.remuneration.pre_fixed_rate,"The fixed interest rate defined at issuance, expressed as a decimal (for example `0.150000` represents 15%).",0.05,number,float,No,Yes,,‘^\d{1}\.\d{6}$’
