Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
[].id,"Belvo's unique identifier for the current item.
",0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,Yes,No,,
[].link,The `link.id` the data belongs to.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,Yes,Yes,,
[].created_at,"The ISO-8601 timestamp of when the data point was created in Belvo's database.
",2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
[].accounts,"An array of Belvo-generated account numbers (UUIDs) that were used during the risk insights analysis. If no accounts were found, we return an empty array.","[""0d3ffb69-f83b-456e-ad8e-208d0998d71d"", ""00293c8e-1152-440b-9892-3c071fb88672"", ""cf638fba-ef45-4c10-bc6f-adecc4b2bf4e"", ""3861a5da-ae9b-4f20-a632-a9294489d5ac"", ""1f60315b-236d-498e-be7a-92bc613d329b"", ""a2c8da63-ed51-41e6-891a-4ae7e784463a""]",array,,Yes,Yes,,
[].assets_metrics,"Aggregate details regarding the assets used in the risk insight analysis. For asset metrics, we only consider checking and savings accounts.


> Asset metrics can provide a snapshot of your user's wealth and liquid assets, indicating how they manage their wealth and their current financial status.
",,object,,Yes,Yes,,
[].assets_metrics.institutions,"An array of institutions from which account information was retrieved for the user. 

> **Note**: For most use cases, this array will only return one item.
","[""erebor_mx_retail""]",array,,Yes,Yes,,
[].assets_metrics.num_assets_accounts,"The total number of accounts found for the user.
",1,integer,int32,No,Yes,,
[].assets_metrics.num_checking_accounts,"The total number of checking accounts found for the user.
",1,integer,int32,Yes,Yes,,
[].assets_metrics.num_savings_accounts,"The total number of savings accounts found for the user.
",1,integer,int32,Yes,Yes,,
[].assets_metrics.checking_accounts_balance,"The total closing balance of all checking accounts.
",35901.46,number,float,Yes,Yes,,
[].assets_metrics.savings_accounts_balance,"The total closing balance of all savings accounts.
",300.02,number,float,Yes,Yes,,
[].credit_cards_metrics,"Aggregated metrics calculated based on the user's credit card accounts.

> Credit card metrics illustrate a customer's credit card habits, revealing how many credit card accounts a customer has, their total credit limit, how much of that limit they're using, and the rate of their credit card limit utilization.
",,object,,Yes,Yes,,
[].credit_cards_metrics.num_accounts,"Number of credit cards accounts associated to the user.
",2,integer,int32,Yes,No,,
[].credit_cards_metrics.sum_credit_limit,"Sum total of all credit cards' limits.
",106560,number,float,Yes,Yes,,
[].credit_cards_metrics.sum_credit_used,"Sum total of all credit used.
",101020.14,number,float,Yes,Yes,,
[].credit_cards_metrics.credit_card_limit_utilization,"The percentage of the credit card limit used.
",0.95,number,float,Yes,Yes,,
[].loans_metrics,"Aggregated metrics calculated based on the user's loan accounts and checking accounts that have an overdraft.

> Loan metrics help in understanding a customer's borrowing and repayment behavior, which can help in assessing their ability to take on additional credit and potential default risks.
",,object,,Yes,Yes,,
[].loans_metrics.num_accounts,"The number of loan accounts associated with the user.
",1,integer,int32,Yes,No,,
[].loans_metrics.sum_loans_principal,"Sum total of the principal for all of the user's loan accounts.
",5000,number,float,Yes,Yes,,
[].loans_metrics.sum_loans_outstanding_principal,"Sum total of the outstanding principal for all the user's loan accounts.
",2000,number,float,Yes,Yes,,
[].loans_metrics.sum_loans_monthly_payment,"Sum total of the monthly payments for all the user's loan accounts.
",400,number,float,Yes,Yes,,
[].loans_metrics.loan_limit_utilization,"The percentage of the loan limit used.
",0.3,number,float,Yes,Yes,,
[].loans_metrics.overdraft_limit,"The total overdraft limit of all checking and savings accounts.
",900,number,float,Yes,Yes,,
[].loans_metrics.overdraft_limit_utilization,"The percentage of the overdraft limit used.
",0.4,number,float,Yes,Yes,,
[].balances_metrics,Balance metrics calculated based on the user's balances from checking and savings accounts.,,object,,Yes,Yes,,
[].balances_metrics.closing_balance,"The balance of all the accounts at the `collected_at` time.
",35901.46,number,float,Yes,Yes,,
[].balances_metrics.min_balance_3d,"The minimum balance in the last three days.
",35417.68,number,float,Yes,Yes,,
[].balances_metrics.min_balance_1w,"The minimum balance in the last week).
",34150.5,number,float,Yes,Yes,,
[].balances_metrics.min_balance_1m,"The minimum balance in the last month.
",33990.59,number,float,Yes,Yes,,
[].balances_metrics.min_balance_3m,"The minimum balance in the last three months.
",33990.59,number,float,Yes,Yes,,
[].balances_metrics.min_balance_6m,"The minimum balance in the six last months.
",33990.59,number,float,Yes,Yes,,
[].balances_metrics.min_balance_12m,"The minimum balance in the last twelve months.
",33990.59,number,float,Yes,Yes,,
[].balances_metrics.mean_balance_3d,"The mean balance in the last three days.
",35659.57,number,float,Yes,Yes,,
[].balances_metrics.mean_balance_1w,"The mean balance in the last week.
",35077.1,number,float,Yes,Yes,,
[].balances_metrics.mean_balance_1m,"The mean balance in the last month.
",34816.08,number,float,Yes,Yes,,
[].balances_metrics.mean_balance_3m,"The mean balance in the last three months.
",34816.08,number,float,Yes,Yes,,
[].balances_metrics.mean_balance_6m,"The mean balance in the last six months.
",34816.08,number,float,Yes,Yes,,
[].balances_metrics.mean_balance_12m,"The mean balance in the last twelve months.
",34816.08,number,float,Yes,Yes,,
[].balances_metrics.max_balance_3d,"The maximum balance in the last three days.
",35901.46,number,float,Yes,Yes,,
[].balances_metrics.max_balance_1w,"The maximum balance in the last week.
",35901.46,number,float,Yes,Yes,,
[].balances_metrics.max_balance_1m,"The maximum balance in the last month.
",35901.46,number,float,Yes,Yes,,
[].balances_metrics.max_balance_3m,"The maximum balance in the last three months.
",35901.46,number,float,Yes,Yes,,
[].balances_metrics.max_balance_6m,"The maximum balance in the last six months.
",35901.46,number,float,Yes,Yes,,
[].balances_metrics.max_balance_12m,"The maximum balance in the last twelve months.
",35901.46,number,float,Yes,Yes,,
[].balances_metrics.std_balance_3d,"The balance standard deviation in the last three days.
",279.31,number,float,Yes,Yes,,
[].balances_metrics.std_balance_1w,"The balance standard deviation in the last week.
",764.03,number,float,Yes,Yes,,
[].balances_metrics.std_balance_1m,"The balance standard deviation in the last month.
",586.55,number,float,Yes,Yes,,
[].balances_metrics.std_balance_3m,"The balance standard deviation in the last three months.
",586.55,number,float,Yes,Yes,,
[].balances_metrics.std_balance_6m,"The balance standard deviation in the last six months.
",586.55,number,float,Yes,Yes,,
[].balances_metrics.std_balance_12m,"The balance standard deviation in the last twelve months.
",586.55,number,float,Yes,Yes,,
[].balances_metrics.balance_trend_3d,"The balance trend of the user in the last three days.
",193.51,number,float,Yes,Yes,,
[].balances_metrics.balance_trend_1w,"The balance trend of the user in the last week.
",290.18,number,float,Yes,Yes,,
[].balances_metrics.balance_trend_1m,"The balance trend of the user in the last month.
",22.6,number,float,Yes,Yes,,
[].balances_metrics.balance_trend_3m,"The balance trend of the user in the last three months.
",22.6,number,float,Yes,Yes,,
[].balances_metrics.balance_trend_6m,"The balance trend of the user in the last six months.
",22.6,number,float,Yes,Yes,,
[].balances_metrics.balance_trend_12m,"The balance trend of the user in the last twelve months.
",22.6,number,float,Yes,Yes,,
[].balances_metrics.days_balance_below_0_3d,"The number of days that the total balance of the account is less than or equal to 0 in the last three days.
",0,integer,int32,Yes,Yes,,
[].balances_metrics.days_balance_below_0_1w,"The number of days that the total balance of the account is less than or equal to 0 in the last week.
",0,integer,int32,Yes,Yes,,
[].balances_metrics.days_balance_below_0_1m,"The number of days that the total balance of the account is less than or equal to 0 in the last month.
",0,integer,int32,Yes,Yes,,
[].balances_metrics.days_balance_below_0_3m,"The number of days that the total balance of the account is less than or equal to 0 in the last three months.
",0,integer,int32,Yes,Yes,,
[].balances_metrics.days_balance_below_0_6m,"The number of days that the total balance of the account is less than or equal to 0 in the last six months.
",0,integer,int32,Yes,Yes,,
[].balances_metrics.days_balance_below_0_12m,"The number of days that the total balance of the account is less than or equal to 0 in the last twelve months.
",0,integer,int32,Yes,Yes,,
[].balances_metrics.days_balance_below_mean_3d,"The number of days that the mean balance of the account is less than or equal to the amount specified in `mean_daily_balance_3d`.
",2,integer,int32,Yes,Yes,,
[].balances_metrics.days_balance_below_mean_1w,"The number of days that the mean balance of the account is less than or equal to the amount specified in `mean_daily_balance_1w`.
",3,integer,int32,Yes,Yes,,
[].balances_metrics.days_balance_below_mean_1m,"The number of days that the mean balance of the account is less than or equal to the amount specified in `mean_daily_balance_1m`.
",17,integer,int32,Yes,Yes,,
[].balances_metrics.days_balance_below_mean_3m,"The number of days that the mean balance of the account is less than or equal to the amount specified in `mean_daily_balance_3m`.
",17,integer,int32,Yes,Yes,,
[].balances_metrics.days_balance_below_mean_6m,"The number of days that the mean balance of the account is less than or equal to the amount specified in `mean_daily_balance_6m`.
",17,integer,int32,Yes,Yes,,
[].balances_metrics.days_balance_below_mean_12m,"The number of days that the mean balance of the account is less than or equal to the amount specified in `mean_daily_balance_12m`.
",17,integer,int32,Yes,Yes,,
[].balances_metrics.days_balance_below_x_3d,"The number of days that the total balance of the account is less than or equal to the amount specified in `balance_threshold_x` in the last three days.
",0,integer,int32,Yes,Yes,,
[].balances_metrics.days_balance_below_x_1w,"The number of days that the total balance of the account is less than or equal to the amount specified in `balance_threshold_x` in the last week.
",0,integer,int32,Yes,Yes,,
[].balances_metrics.days_balance_below_x_1m,"The number of days that the total balance of the account is less than or equal to the amount specified in `balance_threshold_x` in the last month.
",0,integer,int32,Yes,Yes,,
[].balances_metrics.days_balance_below_x_3m,"The number of days that the total balance of the account is less than or equal to the amount specified in `balance_threshold_x` in the last three months.
",0,integer,int32,Yes,Yes,,
[].balances_metrics.days_balance_below_x_6m,"The number of days that the total balance of the account is less than or equal to the amount specified in `balance_threshold_x` in the last six months.
",0,integer,int32,Yes,Yes,,
[].balances_metrics.days_balance_below_x_12m,"The number of days that the total balance of the account is less than or equal to the amount specified in `balance_threshold_x` in the last twelve months.
",0,integer,int32,Yes,Yes,,
[].balances_metrics.balance_threshold_x,"The threshold used to compute `days_balance_below_x_period`. Please note, this is value is country specific (both in terms of the amount and the currency).
",1000,number,float,Yes,No,,
[].transactions_metrics,"Aggregated metrics calculated based on the user's transactions from checking, savings, credit card, and loan accounts.


> ℹ️ **Note**
>
> If there is not enough transactional data for a given period, we return `null` for calculated fields and `0` for 'count-based' fields. For example, if the account has only been open for five days (or you have provided data just for five days), we return values for `_3d`, `_1w`, and `_1m`, however:
> 
> - `mean_num_transactions_3m` will return `null` as there is no data for months two and three (calculated field).
> - `num_transactions_3m` will return `0` as there is no data for months two and three ('count-based' field)
",,object,,Yes,Yes,,
[].transactions_metrics.num_transactions_3d,"The total number of transactions analyzed to determine the risk insights for the last three days (incoming and outgoing).
",26,integer,int32,Yes,No,,
[].transactions_metrics.num_transactions_1w,"The total number of transactions analyzed to determine the risk insights for the last week (incoming and outgoing).
",46,integer,int32,Yes,No,,
[].transactions_metrics.num_transactions_1m,"The total number of transactions analyzed to determine the risk insights for the last month (incoming and outgoing).
",168,integer,int32,Yes,No,,
[].transactions_metrics.num_transactions_3m,"The total number of transactions analyzed to determine the risk insights for the last three months (incoming and outgoing).
",460,integer,int32,Yes,No,,
[].transactions_metrics.num_transactions_6m,"The total number of transactions analyzed to determine the risk insights for the last six months (incoming and outgoing).
",472,integer,int32,Yes,No,,
[].transactions_metrics.num_transactions_12m,"The total number of transactions analyzed to determine the risk insights for the last twelve months (incoming and outgoing).
",496,integer,int32,Yes,No,,
[].transactions_metrics.max_num_transactions_3d,"The maximum number of transactions for the last three days.
",10,integer,int32,Yes,No,,
[].transactions_metrics.max_num_transactions_1w,"The maximum number of transactions for the last week.
",10,integer,int32,Yes,No,,
[].transactions_metrics.max_num_transactions_1m,"The maximum number of transactions for the last month.
",18,integer,int32,Yes,No,,
[].transactions_metrics.max_num_transactions_3m,"The maximum number of transactions for the last three months.
",18,integer,int32,Yes,No,,
[].transactions_metrics.max_num_transactions_6m,"The maximum number of transactions for the last six months.
",18,integer,int32,Yes,No,,
[].transactions_metrics.max_num_transactions_12m,"The maximum number of transactions for the last twelve months.
",18,integer,int32,Yes,No,,
[].transactions_metrics.mean_num_transactions_3d,"The mean number of transactions for the last three days.
",6.5,number,float,Yes,No,,
[].transactions_metrics.mean_num_transactions_1w,"The mean number of transactions for the last week.
",5.75,number,float,Yes,No,,
[].transactions_metrics.mean_num_transactions_1m,"The mean number of transactions for the last month.
",5.42,number,float,Yes,No,,
[].transactions_metrics.mean_num_transactions_3m,"The mean number of transactions for the last three months.
",5.05,number,float,Yes,No,,
[].transactions_metrics.mean_num_transactions_6m,"The mean number of transactions for the last six months.
",2.61,number,float,Yes,No,,
[].transactions_metrics.mean_num_transactions_12m,"The mean number of transactions for the last twelve months.
",1.37,number,float,Yes,No,,
[].transactions_metrics.num_incoming_transactions_3d,"The total number of inflow transactions for the last three days.
",12,integer,int32,Yes,No,,
[].transactions_metrics.num_incoming_transactions_1w,"The total number of inflow transactions for the last week.
",21,integer,int32,Yes,No,,
[].transactions_metrics.num_incoming_transactions_1m,"The total number of inflow transactions for the last month.
",80,integer,int32,Yes,No,,
[].transactions_metrics.num_incoming_transactions_3m,"The total number of inflow transactions for the last three months.
",229,integer,int32,Yes,No,,
[].transactions_metrics.num_incoming_transactions_6m,"The total number of inflow transactions for the last six months.
",238,integer,int32,Yes,No,,
[].transactions_metrics.num_incoming_transactions_12m,"The total number of inflow transactions for the last twelve months.
",256,integer,int32,Yes,No,,
[].transactions_metrics.max_num_incoming_transactions_3d,"The maximum number of inflow transactions for the last three days.
",6,integer,int32,Yes,No,,
[].transactions_metrics.max_num_incoming_transactions_1w,"The maximum number of inflow transactions for the last week.
",6,integer,int32,Yes,No,,
[].transactions_metrics.max_num_incoming_transactions_1m,"The maximum number of inflow transactions for the last month.
",10,integer,int32,Yes,No,,
[].transactions_metrics.max_num_incoming_transactions_3m,"The maximum number of inflow transactions for the last three months.
",10,integer,int32,Yes,No,,
[].transactions_metrics.max_num_incoming_transactions_6m,"The maximum number of inflow transactions for the last six months.
",10,integer,int32,Yes,No,,
[].transactions_metrics.max_num_incoming_transactions_12m,"The maximum number of inflow transactions for the last twelve months.
",10,integer,int32,Yes,No,,
[].transactions_metrics.mean_num_incoming_transactions_3d,"The mean number of inflow transactions for the last three days.
",3,number,float,Yes,No,,
[].transactions_metrics.mean_num_incoming_transactions_1w,"The mean number of inflow transactions for the last week.
",2.62,number,float,Yes,No,,
[].transactions_metrics.mean_num_incoming_transactions_1m,"The mean number of inflow transactions for the last month.
",2.58,number,float,Yes,No,,
[].transactions_metrics.mean_num_incoming_transactions_3m,"The mean number of inflow transactions for the last three months.
",2.52,number,float,Yes,No,,
[].transactions_metrics.mean_num_incoming_transactions_6m,"The mean number of inflow transactions for the last six months.
",1.31,number,float,Yes,No,,
[].transactions_metrics.mean_num_incoming_transactions_12m,"The mean number of inflow transactions for the last twelve months.
",0.71,number,float,Yes,No,,
[].transactions_metrics.sum_incoming_amount_3d,"The total sum of all inflow transactions for the last three days.
",17142.16,number,float,Yes,Yes,,
[].transactions_metrics.sum_incoming_amount_1w,"The total sum of all inflow transactions for the last week.
",24825.92,number,float,Yes,Yes,,
[].transactions_metrics.sum_incoming_amount_1m,"The total sum of all inflow transactions for the last month.
",75993.36,number,float,Yes,Yes,,
[].transactions_metrics.sum_incoming_amount_3m,"The total sum of all inflow transactions for the last three months.
",198197.28,number,float,Yes,Yes,,
[].transactions_metrics.sum_incoming_amount_6m,"The total sum of all inflow transactions for the last six months.
",223697.28,number,float,Yes,Yes,,
[].transactions_metrics.sum_incoming_amount_12m,"The total sum of all inflow transactions for the last twelve months.
",274697.28,number,float,Yes,Yes,,
[].transactions_metrics.max_incoming_amount_3d,"The highest value inflow transaction in the last three days.
",3000,number,float,Yes,Yes,,
[].transactions_metrics.max_incoming_amount_1w,"The highest value inflow transaction in the last week.
",3000,number,float,Yes,Yes,,
[].transactions_metrics.max_incoming_amount_1m,"The highest value inflow transaction in the last month.
",3000,number,float,Yes,Yes,,
[].transactions_metrics.max_incoming_amount_3m,"The highest value inflow transaction in the last three months.
",3000,number,float,Yes,Yes,,
[].transactions_metrics.max_incoming_amount_6m,"The highest value inflow transaction in the last six months.
",3000,number,float,Yes,Yes,,
[].transactions_metrics.max_incoming_amount_12m,"The highest value inflow transaction in the last twelve months.
",3000,number,float,Yes,Yes,,
[].transactions_metrics.mean_incoming_amount_3d,"The mean incoming value of all transactions in the last three days.
",1428.51,number,float,Yes,Yes,,
[].transactions_metrics.mean_incoming_amount_1w,"The mean incoming value of all transactions in the last week.
",1182.19,number,float,Yes,Yes,,
[].transactions_metrics.mean_incoming_amount_1m,"The mean incoming value of all transactions in the last month.
",949.92,number,float,Yes,Yes,,
[].transactions_metrics.mean_incoming_amount_3m,"The mean incoming value of all transactions in the last three months.
",865.49,number,float,Yes,Yes,,
[].transactions_metrics.mean_incoming_amount_6m,"The mean incoming value of all transactions in the last six months.
",939.9,number,float,Yes,Yes,,
[].transactions_metrics.mean_incoming_amount_12m,"The mean incoming value of all transactions in the last twelve months.
",1073.04,number,float,Yes,Yes,,
[].transactions_metrics.num_outgoing_transactions_3d,"To total number of outflow transactions in the last three days.
",14,integer,int32,Yes,No,,
[].transactions_metrics.num_outgoing_transactions_1w,"To total number of outflow transactions in the last week.
",25,integer,int32,Yes,No,,
[].transactions_metrics.num_outgoing_transactions_1m,"To total number of outflow transactions in the last month.
",88,integer,int32,Yes,No,,
[].transactions_metrics.num_outgoing_transactions_3m,"To total number of outflow transactions in the last three months.
",231,integer,int32,Yes,No,,
[].transactions_metrics.num_outgoing_transactions_6m,"To total number of outflow transactions in the last six months.
",234,integer,int32,Yes,No,,
[].transactions_metrics.num_outgoing_transactions_12m,"To total number of outflow transactions in the last twelve months.
",240,integer,int32,Yes,No,,
[].transactions_metrics.max_num_outgoing_transactions_3d,"The maximum number of outflow transactions for the last three days.
",6,integer,int32,Yes,No,,
[].transactions_metrics.max_num_outgoing_transactions_1w,"The maximum number of outflow transactions for the last week.
",6,integer,int32,Yes,No,,
[].transactions_metrics.max_num_outgoing_transactions_1m,"The maximum number of outflow transactions for the last month.
",8,integer,int32,Yes,No,,
[].transactions_metrics.max_num_outgoing_transactions_3m,"The maximum number of outflow transactions for the last three months.
",9,integer,int32,Yes,No,,
[].transactions_metrics.max_num_outgoing_transactions_6m,"The maximum number of outflow transactions for the last six months.
",9,integer,int32,Yes,No,,
[].transactions_metrics.max_num_outgoing_transactions_12m,"The maximum number of outflow transactions for the last twelve months.
",9,integer,int32,Yes,No,,
[].transactions_metrics.mean_num_outgoing_transactions_3d,"The mean number of outflow transactions for the last three days.
",3.5,number,float,Yes,No,,
