Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
id,"Belvo's unique identifier for the current item.
",0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,No,No,,
link,The `link.id` the data belongs to.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,No,Yes,,
collected_at,"The ISO-8601 timestamp when the data point was collected.
",2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
created_at,"The ISO-8601 timestamp of when the data point was created in Belvo's database.
",2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
invoice_identification,The fiscal institution's unique ID for the invoice.,A1A1A1A1-2B2B-3C33-D44D-555555E55EE,string,,Yes,Yes,,
invoice_date,"The date of the invoice, in `YYYY-MM-DD` format.",2019-12-01,string,,Yes,Yes,,
status,"The status of the invoice. Can be either *Vigente* (valid) or *Cancelado*
(cancelled).
",Vigente,string,,Yes,Yes,,
invoice_type,"The fiscal institution's classification of the invoice.

For Mexico's SAT, we return one of the following values:

  - `Egreso`
  - `Ingreso`
  - `Nómina`
  - `Pago`
  - `Traslado`
",Ingreso,string,,Yes,Yes,"Egreso, Ingreso, Nómina, Pago, Traslado",
type,"The direction of the invoice (from the perspective of the Link owner).
- `OUTFLOW` indicates a sent invoice.
- `INFLOW` indicates a received invoice.
",INFLOW,string,,Yes,Yes,"OUTFLOW, INFLOW, None",
tax_details,General information about the taxes of the invoice.,,object,,No,No,,
tax_details.total_tax_retained,Total amount of retained taxes.,194.27,number,float,No,No,,
tax_details.total_tax_transferred,Total amount of transferred taxes.,150.4,number,float,No,No,,
tax_details.retained_taxes,List of retained taxes.,,array,,No,No,,
tax_details.retained_taxes[].tax,"The type of retained tax (for example, ISR, IVA or IEPS).",ISR,string,,No,No,,
tax_details.retained_taxes[].tax_percentage,The percentage of tax retained.,,number,float,No,Yes,,
tax_details.retained_taxes[].pre_tax_amount,The amount before tax.,,number,float,No,Yes,,
tax_details.retained_taxes[].tax_amount,The amount of retained tax.,94,number,float,No,No,,
tax_details.transferred_taxes,List of transferred taxes.,,array,,No,No,,
tax_details.transferred_taxes[].tax,"The type of transferred tax (for example, ISR, IVA or IEPS).",IVA,string,,No,No,,
tax_details.transferred_taxes[].tax_percentage,The percentage of tax transferred.,16,number,float,No,No,,
tax_details.transferred_taxes[].pre_tax_amount,The amount before tax.,940,number,float,No,No,,
tax_details.transferred_taxes[].tax_amount,The amount of transferred tax.,150.4,number,float,No,No,,
sender_id,The fiscal ID of the invoice sender,AAA111111AA11,string,,Yes,Yes,,
sender_fiscal_regime,"The tax regime of the sender, as defined by the legal entity in the country.",601,string,,No,Yes,,
sender_name,The name of the invoice sender.,ACME CORP,string,,Yes,Yes,,
sender_tax_fraud_status,"Indicates whether or not the sender is on SAT's tax fraud list for having submitted incorrect data, having outstanding payments, or having conducted business that is in violation of the fiscal institution's regulations.<br><br>

SAT updates the tax fraud list every three months. <br><br>

For more information regarding the reason's a taxpayer can be put on the tax fraud list, please see <a href=""http://omawww.sat.gob.mx/cifras_sat/Paginas/datos/vinculo.html?page=ListCompleta69.html"" target=""_blank"">Article 69</a> and <a href=""http://omawww.sat.gob.mx/cifras_sat/Paginas/datos/vinculo.html?page=ListCompleta69B.html"" target=""_blank"">Article 69-B</a> of Mexico's Código Fiscal de la Federación.
<br><br>

Possible statuses are:

- `INVESTIGATING` <br>
The fiscal institution has identified irregularities and open an investigation regarding the taxpayer.
<br>
- `DISMISSED` <br>
The fiscal institution has investigated the taxpayer and declared them innocent.
<br>
- `CONFIRMED` <br>
The fiscal institution has confirmed that the taxpayer is guilty.
<br>
- `OVERTURNED` <br>
The fiscal institution has reassessed a previously confirmed taxpayer and, based on new evidence, has taken the taxpayer off the tax fraud list.
<br>
- `NO_TAX_FRAUD_STATUS` <br>
The receiver or sender is not found in the list (in other words, they are complying with the fiscal institution's regulations).
",NO_TAX_FRAUD_STATUS,string,,No,Yes,,
receiver_id,The fiscal ID of the invoice receiver.,BBB222222BB22,string,,Yes,Yes,,
receiver_postal_code,The postal code of the receiver.,11560,string,,No,No,,
receiver_fiscal_regime,"The tax regime of the receiver, as defined by the legal entity in the country.",601,string,,No,Yes,,
receiver_name,The name of the invoice receiver.,BELVO CORP,string,,Yes,Yes,,
receiver_tax_fraud_status,"Indicates whether or not the receiver is on SAT's tax fraud list for having submitted incorrect data, having outstanding payments, or having conducted business that is in violation of the fiscal institution's regulations.<br><br>

SAT updates the tax fraud list every three months. <br><br>

For more information regarding the reason's a taxpayer can be put on the tax fraud list, please see <a href=""http://omawww.sat.gob.mx/cifras_sat/Paginas/datos/vinculo.html?page=ListCompleta69.html"" target=""_blank"">Article 69</a> and <a href=""http://omawww.sat.gob.mx/cifras_sat/Paginas/datos/vinculo.html?page=ListCompleta69B.html"" target=""_blank"">Article 69-B</a> of Mexico's Código Fiscal de la Federación.
<br><br>

Possible statuses are:

- `INVESTIGATING` <br>
The fiscal institution has identified irregularities and open an investigation regarding the taxpayer.
<br>
- `DISMISSED` <br>
The fiscal institution has investigated the taxpayer and declared them innocent.
<br>
- `CONFIRMED` <br>
The fiscal institution has confirmed that the taxpayer is guilty.
<br>
- `OVERTURNED` <br>
The fiscal institution has reassessed a previously confirmed taxpayer and, based on new evidence, has taken the taxpayer off the tax fraud list.
<br>
- `NO_TAX_FRAUD_STATUS` <br>
The receiver or sender is not found in the list (in other words, they are complying with the fiscal institution's regulations).
",NO_TAX_FRAUD_STATUS,string,,No,Yes,,
cancelation_status,"If the invoice is cancelled, this field indicates the status of the cancellation.
",,string,,Yes,Yes,,
cancelation_update_date,"The date of the invoice cancelation, in `YYYY-MM-DD` format.
",2019-12-02,string,date,Yes,Yes,,
