Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
address,The accounts owners registered address.,"Carrer de la Llacuna, 162, 08018 Barcelona",string,,Yes,Yes,,
business_name,"*This field has been deprecated. For more information regarding Belvo and deprecation, see our Deprecated fields explanation.*

*The name of the business.*
",,string,,No,Yes,,
collected_at,"The ISO-8601 timestamp when the data point was collected.
",2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
created_at,"The ISO-8601 timestamp of when the data point was created in Belvo's database.
",2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
display_name,"The full name of the owner, as provided by the bank.",John Doe,string,,Yes,Yes,,
document_id,Information regarding the identification document the owner provided to the bank.,,object,,No,Yes,,
document_id.document_number,The document's identification number.,235578435-S,string,,Yes,Yes,,
document_id.document_type,"The type of document the owner provided to the institution to open the account. Common document types are:

🇧🇷 Brazil
- `CPF` (*Cadastro de Pessoas Físicas*)
- `CNPJ`(*Cadastro Nacional de Pessoas Jurídicas*)

🇨🇴 Colombia
- `CC`(*Cédula de Ciudadanía*)
- `NIT` (*Número de Identificación Tributaria*)

🇲🇽 Mexico
- `CURP` (*Clave Única de Registro de Población*)
- `NSS` (*Número de Seguridad Social*)
- `RFC` (*Registro Federal de Contribuyentes*)
",CPF,string,,Yes,Yes,,
email,The account owner's registered email address.,johndoe@belvo.com,string,email,Yes,Yes,,
first_name,"*This field has been deprecated. For more information regarding Belvo and deprecation, see our Deprecated fields explanation.*

*The first name of the account owner.*
",,string,,No,Yes,,
id,"Belvo's unique identifier for the current item.
",0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,Yes,No,,
internal_identification,The institution's internal identifier for the owner.,7e5838e4,string,,Yes,Yes,,
last_name,"*This field has been deprecated. For more information regarding Belvo and deprecation, see our Deprecated fields explanation.*

*The last name of the account owner.*
",,string,,No,Yes,,
link,The `link.id` the data belongs to.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,Yes,Yes,,
phone_number,The account owner's registered phone number.,+52-XXX-XXX-XXXX,string,,Yes,Yes,,
second_last_name,"*This field has been deprecated. For more information regarding Belvo and deprecation, see our Deprecated fields explanation.*

*The second last name of the account owner.*
",,string,,No,Yes,,
