Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
[].account,"Details regarding the account.

**Note**: For our recurring expenses resource, this account relates to the account that was analyzed to generate the recurring expenses report.
",,object,,Yes,Yes,,
[].account.balance,"Details regarding the current and available balances for the account.
",,object,,Yes,No,,
[].account.balance.available,"The balance that the account owner can use.

- **💰 Checking and saving accounts**:


The available balance may be different to the `current` balance due to pending transactions.

- **💳 Credit cards**:


The credit amount the user still has available for the current period. The `available` balance may be different to the `current` balance due to pending transactions or future instalments.

- **🏡 Loan accounts**:


The present value required to pay off the loan, as provided by the institution.


**Note:** If the institution does not provide this value, we return `null`.
",5621.12,number,float,No,Yes,,
[].account.balance.current,"The current balance is calculated differently according to the type of account.


- **💰 Checking and saving accounts**:


The user's account balance at the `collected_at` timestamp.

- **💳 Credit cards**:


The amount the user has spent in the current card billing period (see `credit_data.cutting_date` for information on when the current billing period finishes).

- **🏡 Loan accounts**:


The amount remaining to pay on the users's loan.
",5874.13,number,float,Yes,Yes,,
[].account.balance_type,"Indicates whether this account is either an `ASSET` or a `LIABILITY`. You can consider the balance of an `ASSET` as being positive, while the balance of a `LIABILITY` as negative.
",ASSET,string,,Yes,Yes,,
[].account.bank_product_id,"*This field has been deprecated. For more information regarding Belvo and deprecation, see our Deprecated fields explanation.*

*The institution's product ID for the account type.*
",,string,,No,Yes,,
[].account.category,"The type of account.
We return one of the following enum values:
  - `CHECKING_ACCOUNT`
  - `CREDIT_CARD`
  - `INVESTMENT_ACCOUNT`
  - `LOAN_ACCOUNT`
  - `PENSION_FUND_ACCOUNT`
  - `SAVINGS_ACCOUNT`
  - `UNCATEGORIZED`
  - `null`
",CHECKING_ACCOUNT,string,,Yes,Yes,"CHECKING_ACCOUNT, CREDIT_CARD, INVESTMENT_ACCOUNT, LOAN_ACCOUNT, PENSION_FUND_ACCOUNT, SAVINGS_ACCOUNT, UNCATEGORIZED, None",
[].account.collected_at,"The ISO-8601 timestamp when the data point was collected.
",2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
[].account.created_at,"The ISO-8601 timestamp of when the data point was created in Belvo's database.
",2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
[].account.credit_data,The credit options associated with this account.,,object,,Yes,Yes,,
[].account.credit_data.collected_at,"The ISO-8601 timestamp when the data point was collected.
",2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
[].account.credit_data.credit_limit,The maximum amount of credit the owner can receive.,192000,number,float,Yes,Yes,,
[].account.credit_data.cutting_date,"The closing date of the credit period, in `YYYY-MM-DD` format.",2019-12-11,string,,Yes,Yes,,
[].account.credit_data.interest_rate,The annualized interest rate of the credit.,4,number,float,Yes,Yes,,
[].account.credit_data.last_payment_date,"*This field has been deprecated. For more information regarding Belvo and deprecation, see our Deprecated fields explanation.*


*The date when the last credit payment was made, in `YYYY-MM-DD` format.*
",,string,,No,Yes,,
[].account.credit_data.last_period_balance,"*This field has been deprecated. For more information regarding Belvo and deprecation, see our Deprecated fields explanation.*


*The balance remaining after the `last_payment_date`.*
",,string,,No,Yes,,
[].account.credit_data.minimum_payment,The minimum amount to be paid on the `next_payment_date`.,2400.3,number,float,Yes,Yes,,
[].account.credit_data.monthly_payment,"*This field has been deprecated. For more information regarding Belvo and deprecation, see our Deprecated fields explanation.*

*The recurrent monthly payment, if applicable.*
",,number,,No,Yes,,
[].account.credit_data.next_payment_date,"The due date for the next payment , in `YYYY-MM-DD` format.",2019-12-13,string,,Yes,No,,
[].account.credit_data.no_interest_payment,The minimum amount required to pay to avoid generating interest.,2690.83,number,float,Yes,Yes,,
[].account.currency,"The currency of the account. For example:
- 🇧🇷 BRL (Brazilian Real)
- 🇨🇴 COP (Colombian Peso)
- 🇲🇽 MXN (Mexican Peso)

 Please note that other currencies other than in the list above may be returned.",MXN,string,,Yes,Yes,,
[].account.funds_data,One or more funds that contribute to the the pension account.,,array,,No,Yes,,
