Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
[].id,Identificador único de Belvo para el elemento actual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,Yes,No,,
[].link,El `link.id` al que pertenecen los datos.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,Yes,Yes,,
[].collected_at,La marca de tiempo ISO-8601 cuando se recopiló el punto de datos.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
[].created_at,La marca de tiempo ISO-8601 de cuando se creó el punto de datos en la base de datos de Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
[].error,"En casos donde surjan problemas durante la extracción de estados financieros de la institución fiscal, se pueden proporcionar los siguientes mensajes de error para explicar los problemas encontrados:

  - `Unable to validate if the usuario has an available financial statement for the specified year.`
  - `No available financial statement found for the usuario for the specified year, preventing data extraction.`
  - `Unable to verify if the usuario has *conceptos vigentes* for the specified year.`
  - `The fiscal institution provided the financial statement in an unrecognized format.`",,string,,Yes,Yes,,
[].year,El año del estado financiero.,2020,string,,Yes,No,,^\d{4}$
[].currency,La moneda del estado financiero.,MXN,string,,Yes,No,,
[].balance_sheet,"El balance general que detalla los activos, pasivos y patrimonio de la empresa para el año dado.",,object,,Yes,No,,
[].balance_sheet.current_assets,Los activos corrientes de la empresa para el año dado.,,object,,No,No,,
[].balance_sheet.current_assets.cash_and_equivalents,"El monto total de efectivo y equivalentes de efectivo, incluyendo moneda, cuentas bancarias y otras inversiones líquidas que pueden convertirse rápidamente en efectivo.",48572,number,float,Yes,Yes,,
[].balance_sheet.current_assets.short_term_investments,"El valor de las inversiones que se espera sean liquidadas en efectivo dentro de un año, como los valores negociables.",21345,number,float,Yes,Yes,,
[].balance_sheet.current_assets.accounts_receivable,"El monto adeudado por los clientes por ventas realizadas a crédito, que se espera recibir en un corto período.",154321,number,float,Yes,Yes,,
[].balance_sheet.current_assets.notes_receivable,"El valor de los pagarés escritos recibidos de clientes u otros, que prometen pagar una cantidad especificada en una fecha determinada.",31789,number,float,Yes,Yes,,
[].balance_sheet.current_assets.other_debtors,"Los montos totales adeudados por varios otros deudores, excluyendo cuentas y documentos por cobrar.",12345,number,float,Yes,Yes,,
[].balance_sheet.current_assets.bad_debt_provision,"El monto estimado de cuentas por cobrar que se espera que sean incobrables, a menudo se denomina provisión para cuentas de dudoso cobro.",0,number,float,Yes,Yes,,
[].balance_sheet.current_assets.tax_recoverable,El monto de los pagos de impuestos que se pueden recuperar de las autoridades fiscales.,8976,number,float,Yes,Yes,,
