Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
id,Identificador único de Belvo para el elemento actual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,Yes,No,,
link,El `link.id` al que pertenecen los datos.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,Yes,Yes,,
created_at,La marca de tiempo ISO-8601 de cuando se creó el punto de datos en la base de datos de Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
accounts,"Una matriz de números de cuenta generados por Belvo (UUIDs) que se utilizaron durante el análisis de perspectivas de riesgo. Si no se encontraron cuentas, devolvemos una matriz vacía.","[""0d3ffb69-f83b-456e-ad8e-208d0998d71d"", ""00293c8e-1152-440b-9892-3c071fb88672"", ""cf638fba-ef45-4c10-bc6f-adecc4b2bf4e"", ""3861a5da-ae9b-4f20-a632-a9294489d5ac"", ""1f60315b-236d-498e-be7a-92bc613d329b"", ""a2c8da63-ed51-41e6-891a-4ae7e784463a""]",array,,Yes,Yes,,
assets_metrics,"Agregue detalles sobre los activos utilizados en el análisis de percepción de riesgos. Para las métricas de activos, solo consideramos cuentas corrientes y de ahorros.

> Las métricas de activos pueden proporcionar una instantánea de la riqueza y los activos líquidos de su usuario, indicando cómo gestionan su riqueza y su estado financiero actual.",,object,,Yes,Yes,,
assets_metrics.institutions,"Una matriz de instituciones de las cuales se recuperó información de la cuenta para el usuario.

> **Nota**: Para la mayoría de los casos de uso, esta matriz solo devolverá un elemento.","[""erebor_mx_retail""]",array,,Yes,Yes,,
assets_metrics.num_assets_accounts,El número total de cuentas encontradas para el usuario.,1,integer,int32,No,Yes,,
assets_metrics.num_checking_accounts,El número total de cuentas corrientes encontradas para el usuario.,1,integer,int32,Yes,Yes,,
assets_metrics.num_savings_accounts,El número total de cuentas de ahorro encontradas para el usuario.,1,integer,int32,Yes,Yes,,
assets_metrics.checking_accounts_balance,El saldo total de cierre de todas las cuentas corrientes.,35901.46,number,float,Yes,Yes,,
assets_metrics.savings_accounts_balance,El saldo total de cierre de todas las cuentas de ahorro.,300.02,number,float,Yes,Yes,,
credit_cards_metrics,"Métricas agregadas calculadas basadas en las cuentas de tarjetas de crédito del usuario.

> Las métricas de tarjetas de crédito ilustran los hábitos de un cliente con sus tarjetas de crédito, revelando cuántas cuentas de tarjetas de crédito tiene un cliente, su límite de crédito total, cuánto de ese límite está utilizando y la tasa de utilización de su límite de crédito.",,object,,Yes,Yes,,
credit_cards_metrics.num_accounts,Número de cuentas de tarjetas de crédito asociadas al usuario.,2,integer,int32,Yes,No,,
credit_cards_metrics.sum_credit_limit,Suma total de los límites de todas las tarjetas de crédito.,106560,number,float,Yes,Yes,,
