Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
[].id,Identificador único de Belvo para el elemento actual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,No,No,,
[].link,El `link.id` al que pertenecen los datos.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,No,Yes,,
[].collected_at,La marca de tiempo ISO-8601 cuando se recopiló el punto de datos.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
[].created_at,La marca de tiempo ISO-8601 de cuando se creó el punto de datos en la base de datos de Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
[].entity_details,Detalles sobre la entidad fiscal (fechas clave e información de identificación).,,object,,No,No,,
[].entity_details.incorporation_date,"La fecha en que se constituyó la entidad fiscal, en formato `YYYY-MM-DD`.",24-09-2010,string,date,Yes,No,,
[].entity_details.start_date,"La fecha en que la entidad fiscal comenzó a operar, en formato `YYYY-MM-DD`.",24-09-2010,string,date,Yes,No,,
[].entity_details.end_date,"La fecha en que la entidad fiscal cesó sus operaciones, en formato `YYYY-MM-DD`. Si la entidad aún está operando, este campo devolverá `null`.",,string,date,Yes,Yes,,
[].entity_details.document_id_type,"El tipo de ID de documento que tiene la entidad fiscal. Para Chile, esto será el `RUT`.",RUT,string,,Yes,No,,
[].entity_details.document_id_number,El número de identificación del documento de la entidad fiscal.,197476427-K,string,,Yes,No,,
[].entity_details.name,El nombre de la entidad fiscal.,Empresa de Prueba,string,,Yes,No,,
[].addresses,Una matriz de direcciones para la entidad fiscal.,,array,,No,No,,
[].addresses[].type,"El tipo de dirección. Puede ser:

  - `PRIMARY` (*domicilio*)
  - `SECONDARY` (*sucursal*)
  - `MAILING_ADDRESS` (*DOM. POSTAL*)
  - `NOTIFICATION_ADDRESS` (*DOM. URBANO_VALIDO_NOTIFICACIONES*)",PRIMARY,string,,Yes,No,"PRIMARY, SECONDARY, MAILING_ADDRESS, NOTIFICATION_ADDRESS",
[].addresses[].date,"La fecha en que la dirección fue añadida a los registros de la entidad fiscal, en formato `YYYY-MM-DD`.",24-09-2010,string,date,Yes,No,,
[].addresses[].address,La dirección de la entidad fiscal.,Calle Falsa 123,string,,Yes,No,,
[].emails,Una matriz de direcciones de correo electrónico para la entidad fiscal.,,array,,No,No,,
[].emails[].type,"El tipo de correo electrónico. Puede ser:

- `CONTACT` (*Correo electrónico de contacto*)
- `NOTIFICATION` (*Correo electrónico para notificaciones*)
- `OTHER`.",CONTACT,string,,Yes,No,"CONTACT, NOTIFICATION, OTHER",
[].emails[].email,La dirección de correo electrónico de la entidad fiscal.,mi-email@empresa.cl,string,email,Yes,No,,
[].phone_numbers,Un array de números de teléfono para la entidad fiscal.,,array,,No,No,,
[].phone_numbers[].type,"El tipo de número de teléfono. Puede ser:

  - `LANDLINE`
  - `MOBILE`
  - `OTHER`",LANDLINE,string,,Yes,Yes,"LANDLINE, MOBILE, OTHER, null",
[].phone_numbers[].number,El número de teléfono de la entidad fiscal.,123456789,string,,Yes,No,,
[].economic_activities,Un conjunto de actividades económicas para la entidad fiscal.,,array,,No,No,,
[].economic_activities[].type,"El tipo de actividad económica general, según el Servicio de Impuestos Internos (SII).",ASESORIA EN INGENIERIA,string,,Yes,No,,
[].economic_activities[].activity,"La actividad económica específica, según el Servicio de Impuestos Internos (SII).",ACTIVIDADES DE CONSULTORIA DE GESTION,string,,Yes,No,,
[].economic_activities[].code,"El código de actividad económica, según el Servicio de Impuestos Internos (SII).",702000,string,,Yes,No,,
[].economic_activities[].tax_category,"La categoría tributaria de la actividad económica, según el Servicio de Impuestos Internos (SII).",1,integer,,Yes,No,,
[].economic_activities[].vat_affected,Indica si la actividad económica está afectada por el IVA.,True,boolean,,Yes,No,,
