Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
id,Identificador único de Belvo para el elemento actual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,Yes,No,,
link,El `link.id` al que pertenecen los datos.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,Yes,Yes,,
collected_at,La marca de tiempo ISO-8601 cuando se recopiló el punto de datos.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
created_at,La marca de tiempo ISO-8601 de cuando se creó el punto de datos en la base de datos de Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
updated_at,La marca de tiempo ISO-8601 de cuándo se actualizó por última vez el cálculo de las métricas de empleo.,2023-08-30T15:31:35.728607Z,string,date-time,Yes,Yes,,
reference_date,"La reference_date que proporcionaste en tu solicitud. Si no proporcionaste una, este campo devolverá `null`, lo que indica que los cálculos se realizan hasta la fecha de la solicitud.

**Nota:** Todos los cálculos son relativos a esta fecha.",2023-06-01,string,date,Yes,Yes,,
age,La edad del individuo.,32,integer,int32,Yes,No,,
current_status,"Indica el estado laboral del individuo. Devolvemos una de las siguientes respuestas:

  - `EMPLOYED`
  - `RETIRED`
  - `UNEMPLOYED`
  - `null`",EMPLOYED,string,,Yes,No,"EMPLOYED, RETIRED, UNEMPLOYED, null",
current_employer_count,El número de empleadores que tiene actualmente el individuo.,1,integer,int32,Yes,Yes,,
base_salary_last,"El último salario base del usuario. Si `current_status` es `EMPLOYED`, este es el salario base actual del usuario.",42.17,number,float,Yes,Yes,,
weeks_employed_last_job,"El número de semanas que el usuario estuvo empleado en su último trabajo. Si `current_status` es `EMPLOYED`, entonces este campo indica el número de semanas que el usuario ha estado empleado en su trabajo actual.",327.1429,number,float,Yes,Yes,,
weeks_since_last_job,"El número de semanas desde su último trabajo. Si el valor de este campo es `0`, esto indica que el usuario está actualmente empleado.",0,number,float,Yes,Yes,,
weeks_employed_total,"El número total de semanas que el usuario ha estado empleado, según la institución.

> **Nota:**
>
> En el caso de que el usuario esté empleado en dos o más lugares al mismo tiempo, seguimos calculando esas semanas como una semana. Por ejemplo, si un usuario tiene tres trabajos simultáneos durante un mes, esto se calcula como 4 semanas.",148.2,number,float,Yes,Yes,,
weeks_with_multiple_employers,El número de semanas que el individuo ha tenido más de un empleador al mismo tiempo.,0,number,float,Yes,Yes,,
employer_count,El número total de empleadores que el usuario ha tenido. Útil para indicar la estabilidad laboral a lo largo de su vida.,14,integer,int32,Yes,Yes,,
