Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
id,Identificador único de Belvo para el elemento actual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,No,No,,
link,El `link.id` al que pertenecen los datos.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,No,Yes,,
created_at,La marca de tiempo ISO-8601 de cuando se creó el punto de datos en la base de datos de Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
collected_at,La marca de tiempo ISO-8601 cuando se recopiló el punto de datos.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
report_date,"La fecha en que se generó el informe del registro de empleo, en formato `YYYY-MM-DD`.",2023-01-19,string,date,No,No,,
internal_identification,"ID único para el usuario según la institución. Para IMSS e ISSSTE México, este es el CURP.",BLPM951331IONVGR54,string,,No,No,,
personal_data,Detalles sobre la información personal del individuo.,,object,,No,No,,
personal_data.official_name,El nombre legal del individuo.,Bruce Banner del Torro,string,,No,Yes,,
personal_data.first_name,El primer nombre del individuo.,Bruce,string,,No,Yes,,
personal_data.last_name,El apellido del individuo.,Banner del Torro,string,,No,Yes,,
personal_data.birth_date,"La fecha de nacimiento del individuo, en formato `YYYY-MM-DD`.",2022-02-09,string,date,No,Yes,,
personal_data.entitlements,Detalles sobre los beneficios a los que tiene derecho el individuo.,,object,,No,No,,
personal_data.entitlements.entitled_to_health_insurance,Indica si el individuo tiene derecho o no a un seguro de salud.,True,boolean,,No,No,,
personal_data.entitlements.entitled_to_company_benefits,Indica si el individuo tiene derecho o no a beneficios de la empresa.,True,boolean,,No,No,,
personal_data.entitlements.valid_until,"Fecha hasta la cual el individuo está cubierto por el seguro de salud y/o beneficios de la empresa. Si es `null`, el empleado está trabajando actualmente y no se requiere una fecha de finalización.",,string,date,No,Yes,,
personal_data.entitlements.status,"Indica el estado laboral del individuo. Devolvemos una de las siguientes respuestas:

  - `EMPLOYED`
  - `RETIRED`
  - `UNEMPLOYED`
  - `null`",EMPLOYED,string,,No,No,"EMPLOYED, RETIRED, UNEMPLOYED, null",
personal_data.document_ids,Detalles sobre los documentos de identificación del individuo.,,array,,No,No,,
personal_data.document_ids[].document_type,"El tipo de documento relacionado con el individuo. Devolvemos uno de los siguientes valores:

  - `NSS`
  - `CURP`
  - `RFC`",NSS,string,,No,Yes,"NSS, CURP, RFC",
personal_data.document_ids[].document_number,El número del documento de identificación (como una cadena).,10277663582,string,,No,Yes,,
personal_data.email,La dirección de correo electrónico del individuo.,bruce.banner@avengers.com,string,,No,Yes,,
social_security_summary,"Detalles sobre las contribuciones al seguro social del individuo, de acuerdo con el IMSS.

>**Nota**: Para ISSSTE México, este valor devolverá `null`.",,object,,No,Yes,,
social_security_summary.weeks_redeemed,Número de semanas que el individuo necesitó retirar de su pensión.,0,integer,int32,No,Yes,,
social_security_summary.weeks_reinstated,"Número de semanas que el individuo ha vuelto a cotizar en su pensión (*AFORE*), después de haberlas retirado previamente.",0,integer,int32,No,Yes,,
social_security_summary.weeks_contributed,"Número de semanas que el individuo ha contribuido a su seguridad social, basado en el número de semanas que el individuo ha trabajado según el IMSS.",188,integer,int32,No,Yes,,
employment_records,Detalles sobre el historial laboral del individuo.,,array,,No,No,,
employment_records[].collected_at,La marca de tiempo ISO-8601 cuando se recopiló el punto de datos.,2020-04-23T21:32:55.336854+00:00,string,date-time,No,No,,
employment_records[].employer,"El nombre oficial del empleador.

>**Nota**: Para ISSSTE México, este es el nombre oficial de la entidad junto con la entidad responsable de gestionar la información del empleado, separados por un punto y coma (`;`). Por ejemplo: SECRETARIA DE EDUCACION PUBLICA (SEP);SECRETARIA DE EDUCACION PUBLICA (SEP).",Batman Enterprises CDMX,string,,No,No,,
