Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
id,Identificador único de Belvo para el elemento actual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,Yes,No,,
link,El `link.id` al que pertenecen los datos.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,Yes,Yes,,
created_at,La marca de tiempo ISO-8601 de cuando se creó el punto de datos en la base de datos de Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
collected_at,La marca de tiempo ISO-8601 cuando se recopiló el punto de datos.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
operation_identifier,El identificador único de la red para la operación de intercambio.,92792126019929240,string,,Yes,No,,"^[a-zA-Z0-9][a-zA-Z0-9\-]{0,99}$"
operation_number,El número de registro de operación de 12 dígitos del Banco Central de Brasil (Bacen). Esto puede ser `null` si la operación aún no ha sido registrada.,393874649456,string,,No,Yes,,^\d{12}$
operation_type,"El tipo de operación de cambio.

Devolvemos uno de los siguientes valores de enum:
  - `COMPRA` - Comprar (el cliente está comprando moneda extranjera)
  - `VENDA` - Vender (el cliente está vendiendo moneda extranjera)",COMPRA,string,,Yes,No,"COMPRA, VENDA",
operation_requested_at,La marca de tiempo ISO-8601 cuando se contrató la operación de intercambio.,2023-03-07T08:30:00Z,string,date-time,Yes,No,,^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$
authorized_institution_identifier,El CNPJ de la institución autorizada para llevar a cabo la operación.,11225860000140,integer,int64,Yes,No,,
authorized_institution_name,El nombre de la institución autorizada.,AGENCIA CORRETORA,string,,Yes,No,,
intermediary_institution_identifier,"El CNPJ de la institución intermediaria, si se utilizó una.",11225860000140,integer,int64,No,Yes,,
intermediary_institution_name,El nombre de la institución intermediaria. Debe estar presente si `intermediary_institution_identifier` está disponible.,AGENCIA CORRETORA,string,,No,Yes,,
operation_due_date,"La fecha de liquidación programada actualmente para la operación, en formato `YYYY-MM-DD`.

> **Nota**: Este campo se actualiza si se realizan cambios en la operación de intercambio.",2018-02-15,string,date,Yes,No,,^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$
local_operation_tax_amount,El tipo de cambio aplicado a la operación.,1.3,number,float,Yes,No,,"^\d{1,15}\.\d{1,15}$"
local_operation_tax_currency,El código de moneda de tres letras (ISO-4217) para la tasa de cambio.,BRL,string,,Yes,No,,^[A-Z]{3}$
local_operation_value_amount,El valor total de la operación en moneda local.,1000.04,number,float,Yes,No,,"^\d{1,17}\.\d{2}$"
