Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
id,Identificador único de Belvo para el elemento actual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,Yes,No,,
link,El `link.id` al que pertenecen los datos.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,Yes,Yes,,
created_at,La marca de tiempo ISO-8601 de cuando se creó el punto de datos en la base de datos de Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
income_streams,Una matriz de objetos de flujo de ingresos enriquecidos.,,array,,Yes,No,,
income_streams[].account_id,ID único para la cuenta bancaria que se verificará para flujos de ingresos.,EBACA-89077589,string,,Yes,No,,
income_streams[].income_type,"El tipo de ingreso utilizado en los cálculos.

Devolvemos uno de los siguientes valores de enum:

  - `SALARY`
  - `GOVERNMENT`
  - `INTEREST`
  - `RENT`
  - `RETIREMENT`
  - `FREELANCE`
  - `ALTERNATIVE_INCOME`
  - `TRANSFER`
  - `DEPOSIT`
  - `UNKNOWN`",SALARY,string,,Yes,No,"SALARY, GOVERNMENT, INTEREST, RENT, RETIREMENT, FREELANCE, ALTERNATIVE_INCOME, TRANSFER, DEPOSIT, UNKNOWN",
income_streams[].frequency,"Con qué frecuencia se recibe el ingreso.

Devolvemos uno de los siguientes valores de enum:

  - `MONTHLY` - Para transacciones que ocurren una vez al mes.
  - `FORTNIGHTLY` - Para transacciones que ocurren una vez cada dos semanas.
  - `WEEKLY` - Para transacciones que ocurren una vez por semana.
  - `IRREGULAR` - Para transacciones que no ocurren con un patrón de frecuencia definido.
  - `SINGLE` - Para transacciones que ocurren solo una vez y no se repiten.",MONTHLY,string,,Yes,No,"MONTHLY, FORTNIGHTLY, WEEKLY, IRREGULAR, SINGLE",
income_streams[].monthly_average,La cantidad promedio de ingresos recibidos de la fuente durante `periods_with_income`.,2500,number,float,Yes,No,,
income_streams[].monthly_median,La cantidad mediana de ingresos recibidos de la fuente durante un mes natural.,2200,number,float,No,No,,
income_streams[].average_income_amount,El monto promedio de transacción de ingresos de la fuente.,2500,number,float,Yes,No,,
income_streams[].last_income_amount,El monto del ingreso más reciente recibido de la fuente.,2500,number,float,Yes,No,,
income_streams[].currency,"El código de moneda de tres letras del ingreso. Por ejemplo:

  • 🇧🇷 BRL (Real Brasileño)
  • 🇨🇴 COP (Peso Colombiano)
  • 🇲🇽 MXN (Peso Mexicano)",BRL,string,,Yes,No,,
income_streams[].last_income_description,La descripción del ingreso más reciente del stream.,Salário,string,,Yes,No,,
income_streams[].last_income_date,"La fecha en que se recibió el ingreso más reciente del flujo, en formato `YYYY-MM-DD`.",2023-02-09,string,date,Yes,No,,
