Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
broker_note_details,"Detalles sobre la nota de corretaje asociada con esta transacción. Este objeto solo se devuelve para transacciones que están asociadas con un tipo de inversión `VARIABLE_INCOME`.

> 📘 Info
>
> Una nota de corretaje (*nota de corretagem*) es un documento oficial emitido por una correduría que detalla las transacciones realizadas por un inversor en un día determinado. Incluye información sobre el valor bruto de todas las compras y ventas, comisiones de corretaje, tarifas de compensación y liquidación, tarifas de compensación y registro, tarifas de aviso de negociación de activos en bolsa, tarifas de bolsa, tarifas de custodia de compensación, impuestos y el impuesto sobre la renta retenido en la fuente.",,object,,No,Yes,,
broker_note_details.broker_note_number,El número de la nota del broker.,1854009930314350,string,,Yes,No,,"‘^\d{1,16}$’"
broker_note_details.brokerage_fee,La tarifa total de corretaje cobrada por el día.,10,number,float,Yes,No,,
broker_note_details.clearing_custody_fee,La tarifa cobrada por las instituciones financieras por los servicios de custodia.,1.5,number,float,Yes,No,,
broker_note_details.clearing_registration_fee,La tarifa cobrada por la compensación y el registro en custodia.,1,number,float,Yes,No,,
broker_note_details.clearing_settlement_fee,La tarifa cobrada por la compensación y liquidación en custodia.,2.5,number,float,Yes,No,,
broker_note_details.gross_value,El valor bruto de todas las compras y ventas del día.,1000,number,float,Yes,No,,
broker_note_details.income_tax,El monto total del impuesto sobre la renta retenido en la fuente para el día.,5,number,float,Yes,No,,
broker_note_details.net_value,"El valor neto de la nota del corredor después de deducir los gastos por comisiones de corretaje, tarifas de liquidación de compensación, tarifas de registro, tarifas de ANA, emolumentos, tarifas de custodia, impuestos y IRRF.",980,number,float,Yes,No,,
broker_note_details.stock_exchange_asset_trade_notice_fee,La tarifa cobrada por la bolsa de valores por las notificaciones de comercio de activos.,0.5,number,float,Yes,No,,
broker_note_details.stock_exchange_fee,La tarifa cobrada por la bolsa de valores por los servicios de registro.,3,number,float,Yes,No,,
broker_note_details.taxes,"El monto total de los impuestos cobrados en la transacción del día, excluyendo el impuesto sobre la renta retenido en la fuente.",10,number,float,Yes,No,,
collected_at,La marca de tiempo ISO-8601 cuando se recopiló el punto de datos.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
created_at,La marca de tiempo ISO-8601 de cuando se creó el punto de datos en la base de datos de Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
exit_fee,"La tarifa de salida se aplica a la transacción del Fondo de Inversión (Fundos de Investimento). Esta tarifa se cobra cuando un cliente rescata o sale del fondo.

> 🚧 Solo aplicable para inversiones de tipo `INVESTMENT_FUND`.",0,number,float,No,No,,
gross_value,"El valor bruto de la transacción.

> 🚧 No aplicable para inversiones de `VARIABLE_INCOME`.",60,number,float,No,No,,"‘^-?\d{1,15}\.\d{2,4}$’"
id,Identificador único de Belvo para el elemento actual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,No,No,,
income_tax,"El Impuesto sobre la Renta (*Imposto de Renda (IR)*) aplicado o retenido durante la transacción.

> 🚧 No aplicable para inversiones de `VARIABLE_INCOME`.",0,number,float,No,No,,
indexer_percentage,"El porcentaje máximo del indexador para el contrato (Bancaria) o transacción (Crédito).

> 🚧 Solo aplicable para inversiones en `FIXED_INCOME_BANKING` y `FIXED_INCOME_CREDIT`.",0,number,float,No,No,,
internal_identification,La identificación interna de la institución de la transacción de inversión.,ABCD2126019929279212650822221989319253344,string,,No,No,,"^[a-zA-Z0-9][a-zA-Z0-9-]{0,99}$"
investment,,,object,,No,No,,
investment.balance,"El saldo del instrumento de inversión, a partir de la `reference_date`.",,object,,No,No,,
investment.balance.blocked_amount,La cantidad del instrumento de inversión que está bloqueada o no disponible para transacciones.,100,number,float,No,No,,
investment.balance.closing_price,El precio de cierre de la inversión en la fecha de referencia.,10,number,float,No,Yes,,"‘^-?\d{1,15}\.\d{2,8}$’"
investment.balance.gross_unit_price,El valor bruto unitario actual de la inversión en la fecha de referencia,10,number,float,No,Yes,,"‘^-?\d{1,15}\.\d{2,8}$’"
investment.balance.gross_value,El valor bruto del instrumento de inversión.,1000,number,float,No,No,,
investment.balance.late_payment_fee,El interés cobrado por pagos atrasados.,10,number,float,No,Yes,,"‘^\d{1,15}\.\d{2,4}$’"
investment.balance.net_value,"El valor neto de la inversión después de deducciones por impuestos, tarifas y otros cargos, a la fecha de referencia.",900,number,float,No,Yes,,"‘^-?\d{1,15}\.\d{2,8}$’"
investment.balance.penalty_fee,"La penalización (multa) por retrasos en los pagos, tal como se define en el contrato.",10,number,float,No,Yes,,"‘^\d{1,15}\.\d{2,4}$’"
investment.balance.post_fixed_rate,El porcentaje del indexador post-fijado para el producto de ingresos.,0.05,number,float,No,Yes,,‘^\d{1}\.\d{6}$’
investment.balance.pre_fixed_rate,La tasa de remuneración prefijada para el producto de ingresos.,0.05,number,float,No,Yes,,‘^\d{1}\.\d{6}$’
