Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
id,Identificador único de Belvo para el elemento actual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,No,No,,
link,El `link.id` al que pertenecen los datos.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,No,Yes,,
collected_at,La marca de tiempo ISO-8601 cuando se recopiló el punto de datos.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
created_at,La marca de tiempo ISO-8601 de cuando se creó el punto de datos en la base de datos de Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
invoice_identification,El ID único de la institución fiscal para la factura.,A1A1A1A1-2B2B-3C33-D44D-555555E55EE,string,,Yes,Yes,,
invoice_date,"La fecha de la factura, en formato `YYYY-MM-DD`.",2019-12-01,string,,Yes,Yes,,
status,El estado de la factura. Puede ser *Vigente* (válido) o *Cancelado* (cancelado).,Vigente,string,,Yes,Yes,,
invoice_type,"La clasificación de la factura por parte de la institución fiscal.

Para el SAT de México, devolvemos uno de los siguientes valores:

  - `Egreso`
  - `Ingreso`
  - `Nómina`
  - `Pago`
  - `Traslado`",Ingreso,string,,Yes,Yes,"Egreso, Ingreso, Nómina, Pago, Traslado",
type,"La dirección de la factura (desde la perspectiva del propietario del Link).
- `OUTFLOW` indica una factura enviada.
- `INFLOW` indica una factura recibida.",INFLOW,string,,Yes,Yes,"OUTFLOW, INFLOW, None",
sender_id,El ID fiscal del remitente de la factura,AAA111111AA11,string,,Yes,Yes,,
sender_name,El nombre del remitente de la factura.,ACME CORP,string,,Yes,Yes,,
sender_tax_fraud_status,"Indica si el remitente está o no en la lista de fraude fiscal del SAT por haber presentado datos incorrectos, tener pagos pendientes o haber realizado negocios que violan las regulaciones de la institución fiscal.<br><br>

El SAT actualiza la lista de fraude fiscal cada tres meses. <br><br>

Para más información sobre las razones por las cuales un contribuyente puede ser incluido en la lista de fraude fiscal, consulte el <a href=""http://omawww.sat.gob.mx/cifras_sat/Paginas/datos/vinculo.html?page=ListCompleta69.html"" target=""_blank"">Artículo 69</a> y el <a href=""http://omawww.sat.gob.mx/cifras_sat/Paginas/datos/vinculo.html?page=ListCompleta69B.html"" target=""_blank"">Artículo 69-B</a> del Código Fiscal de la Federación de México.
<br><br>

Los estados posibles son:

- `INVESTIGATING` <br>
La institución fiscal ha identificado irregularidades y ha abierto una investigación sobre el contribuyente.
<br>
- `DISMISSED` <br>
La institución fiscal ha investigado al contribuyente y lo ha declarado inocente.
<br>
- `CONFIRMED` <br>
La institución fiscal ha confirmado que el contribuyente es culpable.
<br>
- `OVERTURNED` <br>
La institución fiscal ha reevaluado a un contribuyente previamente confirmado y, basándose en nueva evidencia, lo ha retirado de la lista de fraude fiscal.
<br>
- `NO_TAX_FRAUD_STATUS` <br>
El receptor o remitente no se encuentra en la lista (en otras palabras, están cumpliendo con las regulaciones de la institución fiscal).",NO_TAX_FRAUD_STATUS,string,,No,Yes,,
receiver_id,El ID fiscal del receptor de la factura.,BBB222222BB22,string,,Yes,Yes,,
receiver_name,El nombre del receptor de la factura.,BELVO CORP,string,,Yes,Yes,,
