Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
id,Identificador único de Belvo para el elemento actual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,No,No,,
link,El `link.id` al que pertenecen los datos.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,No,Yes,,
created_at,La marca de tiempo ISO-8601 de cuando se creó el punto de datos en la base de datos de Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
collected_at,La marca de tiempo ISO-8601 cuando se recopiló el punto de datos.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
total_amount,"El importe total de la factura, incluidos el IVA y otros impuestos o cargos.",3272500.02,number,float,No,No,,"^\d{1,15}\.\d{2,4}$"
net_amount,El monto total de la factura después del IVA y otros impuestos.,2750000.02,number,float,No,No,,"^\d{1,15}\.\d{2,4}$"
vat_amount,El importe total del IVA de la factura.,522500.02,number,float,No,No,,"^\d{1,15}\.\d{2,4}$"
currency,El código de moneda de tres letras (ISO-4217) de la factura.,CLP,string,,No,No,,^[A-Z]{3}$
issue_date,"La fecha en que se emitió la factura, en formato `YYYY-MM-DD`.",2024-09-23,string,date,No,No,,^\d{4}-\d{2}-\d{2}$
received_at,La marca de tiempo ISO-8601 de cuando se recibió la factura.,2024-09-02T15:23:47-03:00,string,date-time,No,No,,
acknowledged_at,La marca de tiempo ISO-8601 de cuando se reconoció la recepción de la factura.,2024-09-02T15:23:47-03:00,string,date-time,No,No,,
claim_date,"La fecha en que se presentó una reclamación o disputa sobre la factura, en formato `YYYY-MM-DD`.",,string,date,No,Yes,,^\d{4}-\d{2}-\d{2}$
status,"El estado de la factura. Puede ser:

  - `REGISTERED`
  - `PENDING`
  - `REJECTED`
  - `CANCELLED`",REGISTERED,string,,No,No,,
document_code,"Un código que indica si el documento es una factura, una nota de crédito o débito, etc.",33,integer,,No,No,,
category,"La categoría de la factura, según la institución.",Del Giro,string,,No,No,,
folio,El código único de la institución para la factura.,23559723,string,,No,No,,
sender_id,"El número de identificación del remitente. Para SII Chile, este es el RUT.",59324768-2,string,,No,No,,
sender_name,El nombre registrado del remitente.,Cafe del Sur,string,,No,No,,
receiver_id,"El número de identificación del receptor. Para SII Chile, este es el RUT.",82136549-6,string,,No,No,,
receiver_name,El nombre registrado del receptor.,Alejandra Gonzalez,string,,No,No,,
type,Indica si la factura es un INFLOW o OUTFLOW.,INFLOW,string,,No,No,"INFLOW, OUTFLOW",
purchase_invoice_details,"Detalles sobre la factura de compra. Si la factura es una factura de venta (`type` = `OUTFLOW`), este campo devolverá `null`.",,object,,No,Yes,,
purchase_invoice_details.vat_refundable_amount,El monto del IVA pagado que es elegible para ser reclamado como un crédito fiscal.,300.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
purchase_invoice_details.vat_non_refundable_amount,El monto del IVA pagado que no se puede reclamar como crédito fiscal.,20.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
purchase_invoice_details.vat_non_refundable_code,Un código que identifica la razón por la cual el IVA no es recuperable.,90,integer,int32,No,Yes,,
purchase_invoice_details.net_amount_fixed_assets,El valor neto de los activos fijos adquiridos.,8000.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
purchase_invoice_details.vat_fixed_assets,El valor del IVA en la compra de activos fijos.,80.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
purchase_invoice_details.vat_common_use,El IVA que se aplica a las compras utilizadas tanto para fines gravables como no gravables.,129.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
purchase_invoice_details.tax_non_credit_amount,El monto del impuesto que no se puede reclamar como crédito.,5.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
