Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
id,Identificador único de Belvo para el elemento actual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,No,No,,
institution,Nombre de la institución de Belvo.,erebor_mx_retail,string,,No,No,,
access_mode,"El tipo de enlace.
Para más información, consulta nuestro artículo de <a href=""https://developers.belvo.com/docs/links-and-institutions#links"" target=""_blank"">Enlaces</a>.
Devolvemos uno de los siguientes valores de enum:
  - `single`
  - `recurrent`
  - `null`",recurrent,string,,No,Yes,"single, recurrent, None",
last_accessed_at,La marca de tiempo ISO-8601 del acceso más reciente y exitoso de Belvo a la institución para el enlace dado.,2021-03-09T10:28:40.000Z,string,date-time,No,Yes,,
created_at,La marca de tiempo ISO-8601 de cuando se creó el punto de datos en la base de datos de Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
external_id,"Un identificador adicional para el enlace, proporcionado por usted, para almacenar en la base de datos de Belvo. **No puede** incluir ninguna Información Personal Identificable (PII). **Debe** tener al menos tres caracteres de longitud.

Si identificamos que el identificador contiene PII, forzaremos un valor `null`. Para más información, consulte nuestro <a href=""https://developers.belvo.com/docs/link-creation-best-practices#adding-your-own-identifier"" target=""_blank"">artículo sobre la creación de enlaces</a>.",56ab5706-6e00-48a4-91c9-ca55968678d9,string,,No,No,,
institution_user_id,"> 📘 Información
>
> Solo aplicable para enlaces creados **después del 08-02-2022**.

Una cadena única de 44 caracteres que se puede usar para identificar a un usuario en una institución determinada.

📚 Consulta nuestro artículo del DevPortal <a href=""https://developers.belvo.com/docs/link-creation-best-practices#avoiding-duplicated-links"" target=""_blank"">Evitar enlaces duplicados</a> para obtener más información y consejos sobre cómo usarlo.",sooE7XJWEKypZJR603ecaWYk-8Ap0oD8Nr1pBQ4eG9c=,string,,No,No,,[A-Za-z0-9\-=_]{44}
status,"El estado actual del enlace. Para más información, consulta nuestro artículo de <a href=""https://developers.belvo.com/docs/links-and-institutions#links"" target=""_blank"">Link</a> en el devportal. Devolvemos uno de los siguientes valores:
  - `valid`
  - `invalid`
  - `unconfirmed`
  - `token_required`",valid,string,,No,No,"valid, invalid, unconfirmed, token_required",
created_by,El ID único para el usuario que creó este elemento.,bcef7f35-67f2-4b19-b009-cb38795faf09,string,uuid,No,No,,
refresh_rate,"La frecuencia de actualización para el enlace recurrente. Para más información, consulta nuestra <a href=""https://developers.belvo.com/docs/links-and-institutions#recurrent-links"" target=""_blank"">documentación sobre enlaces recurrentes</a> en nuestro DevPortal.
Devolvemos uno de los siguientes valores de enum:
  - `6h`
  - `12h`
  - `24h`
  - `7d` (predeterminado)
  - `30d` (una vez al mes)
  - `null` (para enlaces únicos)",7d,string,,No,Yes,"6h, 12h, 24h, 7d, 30d, None",
credentials_storage,"Indica si se deben almacenar las credenciales (y la duración durante la cual se almacenarán las credenciales).

- Para enlaces recurrentes, esto se establece en `store` por defecto (y no se puede cambiar).
- Para enlaces únicos, esto se establece en `365d` por defecto.

Elige una de las siguientes opciones:
  - `store` para almacenar credenciales (hasta que se elimine el enlace)
  - `nostore` para no almacenar credenciales
  - Cualquier valor entre `1d` y `365d` para indicar el número de días que deseas que se almacenen las credenciales.

Para más información, consulta la sección <a href=""https://developers.belvo.com/docs/data-retention-controls#credentials_storage"" target=""_blank"">credentials_storage</a> de nuestro artículo sobre controles de retención de datos.",27d,string,,No,No,,"^(store|nostore|\d{1,3}d)$"
fetch_resources,Un conjunto de recursos para los que recibirás una actualización histórica.,"[""ACCOUNTS"", ""TRANSACTIONS""]",array,,No,No,,
stale_in,"Indica cuánto tiempo se debe almacenar cualquier dato derivado del usuario en la base de datos de Belvo para el enlace (tanto único como recurrente). Por ejemplo, si envías `90d`, Belvo eliminará cualquier dato relacionado con el usuario de su base de datos después de 90 días. Para más información, consulta la sección <a href=""https://developers.belvo.com/docs/data-retention-controls#stale_in"" target=""_blank"">stale_in</a> de nuestro artículo sobre controles de retención de datos.

> 📘 Info
>
> Belvo solo eliminará datos para enlaces que no se hayan actualizado en el período que proporciones en `stale_in`. Belvo solo eliminará datos para enlaces que no se hayan actualizado en el período que proporciones en `stale_in`.

Por defecto, Belvo almacena los datos del usuario durante 365 días, a menos que el enlace sea eliminado.",42d,string,,No,No,,"^\d{1,3}d$"
