Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
id,Identificador único de Belvo para el elemento actual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,Yes,No,,
link,El `link.id` al que pertenecen los datos.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,Yes,Yes,,
internal_identification,El identificador interno de la institución para el propietario.,7e5838e4,string,,Yes,Yes,,
collected_at,La marca de tiempo ISO-8601 cuando se recopiló el punto de datos.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
created_at,La marca de tiempo ISO-8601 de cuando se creó el punto de datos en la base de datos de Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
display_name,"El nombre completo del individuo, tal como lo proporciona la institución.

> **No anulable:** La red de finanzas abiertas de Brasil debe devolver un valor.",Jack Oswald White,string,,Yes,No,,"^[\w\W]{0,128}$"
social_name,"El nombre social del individuo, tal como es generalmente aceptado por el país.",O Piadista,string,,Yes,Yes,,"^[\w\W]{0,128}$"
birth_date,"La fecha de nacimiento del individuo, en formato `YYYY-MM-DD`.

> **No anulable:** La red de finanzas abiertas de Brasil debe devolver un valor.",1988-07-15,string,date,Yes,No,,^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$
marital_status,"El estado civil del individuo. Devolvemos uno de los siguientes valores:

  - `SINGLE`
  - `MARRIED`
  - `WIDOWED`
  - `SEPARATED`
  - `DIVORCED`
  - `CIVIL_UNION`
  - `OTHER`",SINGLE,string,,Yes,Yes,"SINGLE, MARRIED, WIDOWED, SEPARATED, DIVORCED, CIVIL_UNION, OTHER",
marital_status_additional_info,Información adicional sobre el estado civil del individuo.,It's complicated,string,,Yes,Yes,,"^[\w\W]{0,50}$"
gender,"El género del individuo. Devolvemos uno de los siguientes valores:

  - `FEMALE`
  - `MALE`
  - `OTHER`",FEMALE,string,,Yes,Yes,"FEMALE, MALE, OTHER",
companies_id,"Las instituciones responsables de la creación y verificación del propietario.

> **No anulable:** La red de finanzas abiertas de Brasil debe devolver un valor.",,array,,Yes,No,,
is_local_resident,"Boolean para indicar si el individuo es residente local del país.

> **No anulable:** La red de finanzas abiertas de Brasil debe devolver un valor.",True,boolean,,Yes,No,,
document_id,"Información sobre el documento de identificación que el propietario proporcionó al banco.

> **Non-nullable:** La red de finanzas abiertas de Brasil debe devolver un valor.",,object,,Yes,No,,
