Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
[].account,"Detalles sobre la cuenta.

**Nota**: Para nuestro recurso de gastos recurrentes, esta cuenta se refiere a la cuenta que fue analizada para generar el informe de gastos recurrentes.",,object,,Yes,Yes,,
[].account.balance,Detalles sobre los saldos actual y disponible de la cuenta.,,object,,Yes,No,,
[].account.balance.available,"El saldo que el propietario de la cuenta puede utilizar.

- **💰 Cuentas corrientes y de ahorro**:

El saldo disponible puede ser diferente al saldo `current` debido a transacciones pendientes.

- **💳 Tarjetas de crédito**:

El monto de crédito que el usuario aún tiene disponible para el período actual. El saldo `available` puede ser diferente al saldo `current` debido a transacciones pendientes o cuotas futuras.

- **🏡 Cuentas de préstamo**:

El valor presente requerido para liquidar el préstamo, según lo proporcionado por la institución.

**Nota:** Si la institución no proporciona este valor, devolvemos `null`.",5621.12,number,float,No,Yes,,
[].account.balance.current,"El saldo actual se calcula de manera diferente según el tipo de cuenta.

- **💰 Cuentas corrientes y de ahorro**:

El saldo de la cuenta del usuario en el momento del timestamp `collected_at`.

- **💳 Tarjetas de crédito**:

La cantidad que el usuario ha gastado en el período de facturación actual de la tarjeta (consulte `credit_data.cutting_date` para obtener información sobre cuándo finaliza el período de facturación actual).

- **🏡 Cuentas de préstamo**:

La cantidad restante por pagar en el préstamo del usuario.",5874.13,number,float,Yes,Yes,,
[].account.balance_type,"Indica si esta cuenta es un `ASSET` o un `LIABILITY`. Puedes considerar el saldo de un `ASSET` como positivo, mientras que el saldo de un `LIABILITY` como negativo.",ASSET,string,,Yes,Yes,,
[].account.bank_product_id,"*Este campo ha sido desaprobado. Para obtener más información sobre Belvo y la desaprobación, consulta nuestra explicación de campos desaprobados.*

*El ID de producto de la institución para el tipo de cuenta.*",,string,,No,Yes,,
[].account.category,"El tipo de cuenta.  
Devolvemos uno de los siguientes valores del enum:  
  - `CHECKING_ACCOUNT`
  - `CREDIT_CARD`
  - `INVESTMENT_ACCOUNT`
  - `LOAN_ACCOUNT`
  - `PENSION_FUND_ACCOUNT`
  - `SAVINGS_ACCOUNT`
  - `UNCATEGORIZED`
  - `null`",CHECKING_ACCOUNT,string,,Yes,Yes,"CHECKING_ACCOUNT, CREDIT_CARD, INVESTMENT_ACCOUNT, LOAN_ACCOUNT, PENSION_FUND_ACCOUNT, SAVINGS_ACCOUNT, UNCATEGORIZED, None",
[].account.collected_at,La marca de tiempo ISO-8601 cuando se recopiló el punto de datos.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
[].account.created_at,La marca de tiempo ISO-8601 de cuando se creó el punto de datos en la base de datos de Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
[].account.credit_data,Las opciones de crédito asociadas con esta cuenta.,,object,,Yes,Yes,,
[].account.credit_data.collected_at,La marca de tiempo ISO-8601 cuando se recopiló el punto de datos.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
[].account.credit_data.credit_limit,La cantidad máxima de crédito que el propietario puede recibir.,192000,number,float,Yes,Yes,,
[].account.credit_data.cutting_date,"La fecha de cierre del período de crédito, en formato `YYYY-MM-DD`.",2019-12-11,string,,Yes,Yes,,
[].account.credit_data.interest_rate,La tasa de interés anualizada del crédito.,4,number,float,Yes,Yes,,
[].account.credit_data.last_payment_date,"*Este campo ha sido desaprobado. Para obtener más información sobre Belvo y la desaprobación, consulta nuestra explicación de campos desaprobados.*

*La fecha en que se realizó el último pago de crédito, en formato `YYYY-MM-DD`.*",,string,,No,Yes,,
[].account.credit_data.last_period_balance,"*Este campo ha quedado obsoleto. Para obtener más información sobre Belvo y la obsolescencia, consulte nuestra explicación de Campos obsoletos.*

*El saldo restante después de la `last_payment_date`.*",,string,,No,Yes,,
[].account.credit_data.minimum_payment,El monto mínimo a pagar en la `next_payment_date`.,2400.3,number,float,Yes,Yes,,
[].account.credit_data.monthly_payment,"*Este campo ha sido desaprobado. Para obtener más información sobre Belvo y la desaprobación, consulta nuestra explicación de campos desaprobados.*

*El pago mensual recurrente, si corresponde.*",,number,,No,Yes,,
[].account.credit_data.next_payment_date,"La fecha de vencimiento para el próximo pago, en formato `YYYY-MM-DD`.",2019-12-13,string,,Yes,No,,
[].account.credit_data.no_interest_payment,La cantidad mínima requerida para pagar y evitar generar intereses.,2690.83,number,float,Yes,Yes,,
[].account.currency,"La moneda de la cuenta. Por ejemplo:
- 🇧🇷 BRL (Real Brasileño)
- 🇨🇴 COP (Peso Colombiano)
- 🇲🇽 MXN (Peso Mexicano)

Tenga en cuenta que pueden devolverse otras monedas además de las enumeradas anteriormente.",MXN,string,,Yes,Yes,,
[].account.funds_data,Uno o más fondos que contribuyen a la cuenta de pensión.,,array,,No,Yes,,
[].account.funds_data[].balance,El monto en el fondo.,88427.94,number,float,No,Yes,,
[].account.funds_data[].collected_at,La marca de tiempo ISO-8601 cuando se recopiló el punto de datos.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
[].account.funds_data[].name,El nombre del fondo de pensiones.,FIX X,string,,No,Yes,,
[].account.funds_data[].percentage,"Cuánto contribuye este fondo, como porcentaje, al total de la cuenta de pensión.",100,number,float,No,Yes,,
[].account.funds_data[].public_identifications,Los IDs públicos del fondo.,,array,,No,Yes,,
[].account.funds_data[].public_identifications[].name,El tipo de número de identificación para el fondo.,CNPJ,string,,Yes,No,,
[].account.funds_data[].public_identifications[].value,El número de identificación del fondo.,05.954.445/0221-68,string,,Yes,Yes,,
[].account.funds_data[].type,Tipo de fondo de pensiones.,CNPJ,string,,No,Yes,,
[].account.id,Identificador único de Belvo para el elemento actual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,No,No,,
[].account.institution,Detalles sobre la institución.,,object,,No,No,,
[].account.institution.name,"El nombre de la institución, según lo designado por Belvo.

Por favor, consulta nuestro artículo del <a href=""https://developers.belvo.com/docs/institution"" target=""_blank"">DevPortal sobre Instituciones</a> para obtener una lista detallada de nombres de instituciones.",erebor_mx_retail,string,,No,No,,
[].account.institution.type,"El tipo de institución. Devolvemos uno de los siguientes valores:

  - `bank`
  - `fiscal`
  - `employment`",,string,,No,No,"bank, fiscal, employment",
[].account.internal_identification,"*Este campo ha sido desaprobado. Para obtener más información sobre Belvo y la desaprobación, consulta nuestra explicación de campos desaprobados.*

*La identificación interna de la institución para la cuenta.*",,string,,No,Yes,,
[].account.last_accessed_at,La marca de tiempo ISO-8601 del acceso más reciente y exitoso de Belvo a la institución para el enlace dado.,2021-03-09T10:28:40.000Z,string,date-time,Yes,Yes,,
[].account.link,El `link.id` al que pertenecen los datos.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,No,Yes,,
[].account.loan_data,Las opciones de préstamo asociadas con esta cuenta.,,object,,Yes,Yes,,
[].account.loan_data.collected_at,La marca de tiempo ISO-8601 cuando se recopiló el punto de datos.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
[].account.loan_data.contract_amount,"El monto total inicial del préstamo, calculado por la institución, cuando se firmó el contrato. Este monto incluye el principal + intereses + impuestos + tarifas.",202000,number,float,No,Yes,,
[].account.loan_data.contract_end_date,"La fecha en la que se espera que el préstamo se complete, en formato `YYYY-MM-DD`.",2027-10-01,string,date,No,No,,
[].account.loan_data.contract_number,"El número de contrato del préstamo, tal como lo proporciona la institución.",890ASLDJF87SD00,string,,No,Yes,,
[].account.loan_data.contract_start_date,"La fecha en que se firmó el contrato de préstamo, en formato `YYYY-MM-DD`.",2020-03-01,string,,No,Yes,,
[].account.loan_data.credit_limit,"*Este campo ha quedado obsoleto. Para obtener más información sobre Belvo y la obsolescencia, consulte nuestra explicación de Campos obsoletos.*

Por favor, consulte `principal` en su lugar.",,number,,No,Yes,,
[].account.loan_data.cutting_date,"*Este campo ha sido desaprobado. Para obtener más información sobre Belvo y la desaprobación, consulta nuestra explicación de campos desaprobados.*

La fecha de cierre del período del préstamo, en formato `YYYY-MM-DD`.",,string,,No,Yes,,
[].account.loan_data.cutting_day,"*Este campo ha sido desaprobado. Para obtener más información sobre Belvo y la desaprobación, consulte nuestra explicación de campos desaprobados.*

El día de cierre del mes para el préstamo.",,string,,No,Yes,,
[].account.loan_data.fees,Desglose de las tarifas aplicadas al préstamo.,,array,,No,Yes,,
[].account.loan_data.fees[].type,"El tipo de tarifa. Devolvemos uno de los siguientes valores:

  - `OPERATION_FEE`
  - `INSURANCE_FEE`
  - `OTHERS`",OPERATION_FEE,string,,Yes,No,"OPERATION_FEE, INSURANCE_FEE, OTHERS",
[].account.loan_data.fees[].value,El valor total de la tarifa. Misma moneda del Préstamo.,5.6,number,float,Yes,No,,
[].account.loan_data.interest_rate,"*Este campo ha quedado obsoleto. Para obtener más información sobre Belvo y la obsolescencia, consulte nuestra explicación de Campos obsoletos.*

Por favor, consulte el objeto `interest_rates` en su lugar.",,number,,No,Yes,,
[].account.loan_data.interest_rates,Desglose del interés aplicado al préstamo.,,array,,Yes,Yes,,
[].account.loan_data.interest_rates[].name,El nombre del tipo de tasa de interés aplicada al préstamo.,jurosEfetivo,string,,Yes,Yes,,
[].account.loan_data.interest_rates[].type,"El período en el que se aplica el interés al préstamo. Devolvemos uno de los siguientes valores:

  - `MONTHLY`
  - `YEARLY`",MONTHLY,string,,Yes,Yes,"MONTHLY, YEARLY",
[].account.loan_data.interest_rates[].value,La tasa de interés (en porcentaje o valor monetario).,7.85,number,float,Yes,Yes,,
