Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
cifras_cierre_ejercicio,Detalles sobre los números clave al final del ejercicio fiscal.,,object,,Yes,Yes,,
collected_at,La marca de tiempo ISO-8601 cuando se recopiló el punto de datos.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
conciliacion_entre_resultado_contable_fiscal,"Detalles sobre la conciliación contable.

> **Nota**: Para las declaraciones de impuestos presentadas para el año fiscal 2022 y posteriores, este campo devolverá null ya que ya no es un campo requerido al presentar su declaración de impuestos.",,object,,Yes,Yes,,
created_at,La marca de tiempo ISO-8601 de cuando se creó el punto de datos en la base de datos de Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
datos_adicionales,Datos adicionales sobre la declaración de impuestos.,,object,,Yes,Yes,,
deducciones_autorizadas,Detalles sobre las deducciones de la entidad legal.,,object,,Yes,Yes,,
detalle_pago_r1_isr_personas_morales,Detalles del pago de impuestos.,,object,,Yes,Yes,,
determinacion,"> **Nota**: Solo aplicable para declaraciones de impuestos presentadas en 2022 o después. Para declaraciones de impuestos presentadas antes de 2022, este campo devolverá `null`.

Detalles sobre el impuesto adeudado o el crédito fiscal.",,object,,No,Yes,,
determinacion_del_impuesto_sobre_la_renta,Detalles sobre la declaración de impuestos final.,,object,,Yes,Yes,,
dividendos_o_utilidades_distribuidos,Detalles sobre los dividendos distribuidos.,,object,,Yes,Yes,,
estado_posicion_financiera_balance,"Detalles sobre el balance general de la entidad legal.

> **Nota**: Para las declaraciones de impuestos presentadas para el año fiscal 2022 y posteriores, este campo devolverá null ya que ya no es un campo obligatorio al presentar su declaración de impuestos.",,object,,Yes,Yes,,
estado_resultados,"Información detallada sobre las ganancias y pérdidas anuales de la entidad legal.

> **Nota**: Para las declaraciones de impuestos presentadas para el año fiscal 2022 y posteriores, este campo devolverá null ya que ya no es un campo obligatorio al presentar su declaración de impuestos.",,object,,Yes,Yes,,
id,Identificador único de Belvo para el elemento actual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,Yes,No,,
informacion_general,"Información general sobre la declaración de impuestos (año, RFC, tipo de declaración, nombre de la persona/empresa, etc.).",,object,,Yes,Yes,,
ingressos,"> **Nota**: Solo aplicable para declaraciones de impuestos presentadas en o después de 2022. Para declaraciones de impuestos presentadas antes de 2022, este campo devolverá `null`.

Detalles sobre los montos totales ganados en el año fiscal.",,object,,No,Yes,,
pdf,Declaración de impuestos en PDF como binario.,=PDF-STRING=,string,binary,Yes,Yes,,
receipt_pdf,El recibo de acuse de recibo de la institución fiscal que confirma que han recibido la declaración de impuestos.,=PDF-STRING=,string,binary,Yes,Yes,,
