Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
address,Los detalles de la dirección del contribuyente.,,object,,Yes,Yes,,
address.between_street,Información adicional sobre dónde se encuentra la `street`.,,array,,No,Yes,,
address.between_street[].street_one,La primera calle entre la que se encuentra `street`.,CALLE PRINCIPE,string,,No,Yes,,
address.between_street[].street_two,La segunda calle entre la que se encuentra `street`.,CALLE NUEVA ROMA,string,,No,Yes,,
address.exterior_number,El número de la calle.,432,string,,No,Yes,,
address.interior_number,Información adicional de la dirección.,PLANTA BAJA,string,,No,Yes,,
address.locality,La localidad de la dirección.,none,string,,No,Yes,,
address.municipality,El municipio de la dirección.,CDMX DC,string,,No,Yes,,
address.postal_code,El código postal de la dirección.,21255,string,,Yes,Yes,,
address.state,El estado en el que se encuentra la dirección.,Federal,string,,No,Yes,,
address.street,La calle de los contribuyentes.,LA MALINCHE,string,,No,Yes,,
address.street_type,El tipo `street`.,CALLE,string,,No,Yes,,
address.suburb,El suburbio del contribuyente.,BUENAVENTURA,string,,No,Yes,,
collected_at,La marca de tiempo ISO-8601 cuando se recopiló el punto de datos.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
created_at,La marca de tiempo ISO-8601 de cuando se creó el punto de datos en la base de datos de Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
digital_stamp,El certificado de validación del documento.,"||2020/04/26|GHTF980303F7|CONSTANCIA DE SITUACIÓN
FISCAL|2044441088666600000034||
",string,,Yes,Yes,,
digital_stamp_chain,"Una cadena de datos que contiene la estructura básica de un cheque fiscal digital. Para México, este es el *Comprobante Fiscal Digital por Internet* (CFDI).","EtenSA9t1adG7bn+Jj23kj43JK+XbMPxdOppwabhXD+pXseSqYowWWDna0mpUk3264lkj2345j23faNZB852dCDt9KAjow=
",string,,Yes,Yes,,
economic_activity,Una lista de objetos de actividad económica.,,array,,Yes,Yes,,
economic_activity[].economic_activity,La descripción de la actividad económica.,Asalariado,string,,No,Yes,,
economic_activity[].end_date,"La fecha de finalización de la actividad económica, en formato `YYYY-MM-DD`.",,string,date,No,Yes,,
economic_activity[].initial_date,"La fecha de inicio de la actividad económica, en formato `YYYY-MM-DD`.",2020-12-06,string,,No,Yes,,
economic_activity[].order,El orden de la actividad económica.,2,string,,No,Yes,,
economic_activity[].percentage,El porcentaje de la actividad económica.,1,string,,No,Yes,,
id,Identificador único de Belvo para el elemento actual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,Yes,No,,
id_cif,El ID de *Cédula de Identificación Fiscal* (CIF) del contribuyente.,12345678901,string,,Yes,Yes,,
link,El `link.id` al que pertenecen los datos.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,Yes,Yes,,
obligations,"Detalles sobre las obligaciones de un negocio.

ℹ️ Para cuentas que no son de negocio, este campo se devolverá vacío.",,array,,Yes,Yes,,
obligations[].end_date,"La fecha en que terminó la obligación, en formato `YYYY-MM-DD`.",,string,date,No,Yes,,
obligations[].expiration,"La fecha límite para cumplir con la obligación, según lo impuesto por la autoridad fiscal.",Conjuntamente con la declaración anual del ejercicio.,string,,No,Yes,,
obligations[].initial_date,"La fecha en que comenzó la obligación, en formato `YYYY-MM-DD`.",2020-12-06,string,date,No,Yes,,
obligations[].obligation,La descripción de la obligación.,Declaración informativa de IVA con la anual de ISR,string,,No,Yes,,
official_name,El nombre de la persona o empresa.,John Doe,string,,Yes,Yes,,
pdf,Estado fiscal PDF como una cadena binaria.,=PDF-STRING=,string,binary,Yes,Yes,,
place_and_date_of_issuance,El lugar y la fecha en que se emitió el estado fiscal.,"TLALPAN , CIUDAD DE MEXICO A 19 DE MARZO DE 2020",string,,Yes,Yes,,
regimes,Una lista de objetos de régimen.,,array,,Yes,Yes,,
regimes[].end_date,"La fecha de finalización del régimen, en formato `YYYY-MM-DD`.",,string,date,Yes,Yes,,
regimes[].initial_date,"La fecha de inicio del régimen, en formato `YYYY-MM-DD`.",2020-12-06,string,date,Yes,Yes,,
regimes[].regimen,La descripción del régimen.,Régimen de Ingresos por Dividendos (socios y accionistas),string,,Yes,Yes,,
tax_payer_information,Detalles sobre el contribuyente.,,object,,Yes,Yes,,
tax_payer_information.commercial_name,"El nombre del negocio designado para los consumidores y el público en general.

**Nota**: Solo aplicable para negocios.",Jar Jar Transport,string,,No,Yes,,
tax_payer_information.curp,El número de *Clave Única de Registro de Población* (CURP) del contribuyente.,,string,,No,Yes,,
tax_payer_information.email,Dirección de correo electrónico de contacto para el contribuyente.,john_doe@gmail.com,string,,No,Yes,,
tax_payer_information.first_last_name,El primer apellido del contribuyente.,DOE,string,,No,Yes,,
tax_payer_information.last_status_change_date,"Fecha en la que `status_padron` se actualizó más recientemente, en formato `YYYY-MM-DD`.",,string,date,Yes,Yes,,
tax_payer_information.name,El nombre de pila del contribuyente.,JOHN,string,,No,Yes,,
tax_payer_information.phone,Número de teléfono de contacto del contribuyente.,1234567890,string,,No,Yes,,
tax_payer_information.rfc,"El número de identificación del contribuyente (Para México, este es el RFC).",BEMP12345G58,string,,Yes,Yes,,
tax_payer_information.second_last_name,El segundo apellido del contribuyente.,SCHMOE,string,,No,Yes,,
tax_payer_information.social_name,"El nombre único y exclusivo dentro del territorio nacional que las empresas reciben para fines legales o administrativos.

**Nota**: Solo aplicable para negocios.",John Doe SA DE CV,string,,No,Yes,,
tax_payer_information.start_operations_date,"Fecha en la que el contribuyente comenzó actividades comerciales gravables, en formato `YYYY-MM-DD`.",,string,date,Yes,Yes,,
tax_payer_information.status_padron,Estado del contribuyente en el Registro Federal de Contribuyentes (RFC). Puede ser `ACTIVO` o `INACTIVO`.,,string,,Yes,Yes,,
