Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
[].id,Identificador único da Belvo para o item atual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,No,No,,
[].link,O `link.id` ao qual os dados pertencem.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,No,Yes,,
[].collected_at,O carimbo de data/hora ISO-8601 quando o ponto de dados foi coletado.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
[].created_at,O carimbo de data e hora ISO-8601 de quando o ponto de dados foi criado no banco de dados da Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
[].investment,,,object,,No,No,,
[].investment.id,O identificador único criado pela Belvo usado para referenciar o investimento atual.,5359ddc5-31fc-4346-934b-cc24630a8d06,string,uuid,No,No,,
[].investment.type,"O tipo de investimento: Pode ser

  - `FIXED_INCOME_BANKING` (*Renda Fixa Bancária*)
  - `FIXED_INCOME_CREDIT` (*Renda Fixa Crédito*)
  - `VARIABLE_INCOME` (*Renda Variável*)
  - `TREASURY_BOND` (*Tesouro Direto*)
  - `INVESTMENT_FUND` (*Fundos de Investimento*)",FIXED_INCOME_BANKING,string,,No,No,,
[].investment.issuer_id_number,"O número do CNPJ da instituição emissora. Para Fundos de Investimento, este é o CNPJ do fundo.

> 🚧 Não aplicável para investimentos `TREASURY_BOND`.",10187609364567,string,,No,Yes,,^\d{14}$
[].investment.isin_number,O Número de Identificação de Valores Mobiliários Internacional (ISIN) ISO-6166 para o instrumento financeiro.,BRCST4CTF001,string,,No,Yes,,‘^[A-Z]{2}([A-Z0-9]){9}\d{1}$’
[].investment.currency,"O código de moeda de três letras (ISO-4217) do investimento. Por exemplo, `BRL` para Real Brasileiro.",BRL,string,,No,No,,^[A-Z]{3}$
[].investment.product_name,"O nome do produto de investimento.

- Para `FIXED_INCOME_BANKING`, pode ser: CDB, RDB, LCI ou LCA.
- Para `FIXED_INCOME_CREDIT`, pode ser: DEBÊNTURES, CRI ou CRA.
- Para `INVESTMENT_FUND`, será o nome do fundo. Por exemplo: CONSTELLATION MASTER FIA
- Para `TREASURY_BOND`, será o nome do título. Por exemplo: Tesouro Selic 2025.
- Para `VARIABLE_INCOME_INCOME`, será o nome da ação. Por exemplo, AAPL.",CONSTELLATION MASTER FIA,string,,No,No,,
[].investment.is_tax_exempt,"Indica se o investimento é isento de impostos.

> 🚧 Aplicável apenas para investimentos `FIXED_INCOME_CREDIT`.",False,boolean,,No,No,,
[].investment.clearing_code,"O código de compensação do investimento.

> 🚧 Aplicável apenas para `FIXED_INCOME_BANKING` e `FIXED_INCOME_CREDIT`.",CDB421GPXXX,string,,No,Yes,,[\w\W-]*
[].investment.due_date,"A data de vencimento do instrumento financeiro.

> 🚧 Aplicável apenas para investimentos `FIXED_INCOME_BANKING`, `FIXED_INCOME_CREDIT` e `TREASURY_BOND`.",2022-01-01,string,date,No,Yes,,
[].investment.issue_date,"A data em que o instrumento financeiro foi emitido.

> 🚧 Aplicável apenas para `FIXED_INCOME_BANKING` e `FIXED_INCOME_CREDIT`.",2021-01-01,string,date,No,Yes,,
[].investment.purchase_date,"A data em que o instrumento financeiro foi adquirido.

> 🚧 Aplicável apenas para investimentos `FIXED_INCOME_BANKING`, `FIXED_INCOME_CREDIT` e `TREASURY_BOND`.",2021-01-01,string,date,No,Yes,,
[].investment.grace_period_date,"A data do período de carência do instrumento financeiro.

> 🚧 Aplicável apenas para `FIXED_INCOME_BANKING` e `FIXED_INCOME_CREDIT`.",2021-01-01,string,date,No,Yes,,
[].investment.issue_unit_price,"O preço unitário do instrumento financeiro no momento da emissão.

> 🚧 Aplicável apenas para `FIXED_INCOME_BANKING` e `FIXED_INCOME_CREDIT`.",1000,number,float,No,Yes,,
[].investment.balance,"O saldo do instrumento de investimento, na data de `reference_date`.",,object,,No,No,,
[].investment.balance.reference_date,"A data e hora em que o saldo foi calculado para o instrumento de investimento, no formato `YYYY-MM-DDTHH:MM:SSZ`.",2022-07-21T17:32:00Z,string,date-time,No,No,,
