Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
[].id,Identificador único da Belvo para o item atual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,Yes,No,,
[].link,O `link.id` ao qual os dados pertencem.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,Yes,Yes,,
[].internal_identification,O identificador interno da instituição para o proprietário.,7e5838e4,string,,Yes,Yes,,
[].collected_at,O carimbo de data/hora ISO-8601 quando o ponto de dados foi coletado.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
[].created_at,O carimbo de data e hora ISO-8601 de quando o ponto de dados foi criado no banco de dados da Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
[].display_name,"O nome completo do indivíduo, conforme fornecido pela instituição.

> **Não anulável:** Um valor deve ser retornado pela rede de open finance do Brasil.",Jack Oswald White,string,,Yes,No,,"^[\w\W]{0,128}$"
[].social_name,"O nome social do indivíduo, conforme geralmente aceito pelo país.",O Piadista,string,,Yes,Yes,,"^[\w\W]{0,128}$"
[].birth_date,"A data de nascimento do indivíduo, no formato `YYYY-MM-DD`.

> **Non-nullable:** Um valor deve ser retornado pela rede de open finance do Brasil.",1988-07-15,string,date,Yes,No,,^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$
[].marital_status,"O estado civil do indivíduo. Retornamos um dos seguintes valores:

  - `SINGLE`
  - `MARRIED`
  - `WIDOWED`
  - `SEPARATED`
  - `DIVORCED`
  - `CIVIL_UNION`
  - `OTHER`",SINGLE,string,,Yes,Yes,"SINGLE, MARRIED, WIDOWED, SEPARATED, DIVORCED, CIVIL_UNION, OTHER",
[].marital_status_additional_info,Informações adicionais sobre o estado civil do indivíduo.,It's complicated,string,,Yes,Yes,,"^[\w\W]{0,50}$"
