Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
[].id,Identificador único da Belvo para o item atual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,No,No,,
[].link,O `link.id` ao qual os dados pertencem.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,No,Yes,,
[].collected_at,O carimbo de data/hora ISO-8601 quando o ponto de dados foi coletado.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
[].created_at,O carimbo de data e hora ISO-8601 de quando o ponto de dados foi criado no banco de dados da Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
[].entity_details,Detalhes sobre a entidade fiscal (datas importantes e informações de identificação).,,object,,No,No,,
[].entity_details.incorporation_date,"A data em que a entidade fiscal foi constituída, no formato `YYYY-MM-DD`.",24-09-2010,string,date,Yes,No,,
[].entity_details.start_date,"A data em que a entidade fiscal começou a operar, no formato `YYYY-MM-DD`.",24-09-2010,string,date,Yes,No,,
[].entity_details.end_date,"A data em que a entidade fiscal encerrou suas operações, no formato `YYYY-MM-DD`. Se a entidade ainda estiver operando, este campo retornará `null`.",,string,date,Yes,Yes,,
[].entity_details.document_id_type,"O tipo de ID de documento que a entidade fiscal possui. Para o Chile, será o `RUT`.",RUT,string,,Yes,No,,
[].entity_details.document_id_number,O número de ID do documento da entidade fiscal.,197476427-K,string,,Yes,No,,
[].entity_details.name,O nome da entidade fiscal.,Empresa de Prueba,string,,Yes,No,,
[].addresses,Um array de endereços para a entidade fiscal.,,array,,No,No,,
[].addresses[].type,"O tipo de endereço. Pode ser:

  - `PRIMARY` (*domicilio*)
  - `SECONDARY` (*sucursal*)
  - `MAILING_ADDRESS` (*DOM. POSTAL*)
  - `NOTIFICATION_ADDRESS` (*DOM. URBANO_VALIDO_NOTIFICACIONES*)",PRIMARY,string,,Yes,No,"PRIMARY, SECONDARY, MAILING_ADDRESS, NOTIFICATION_ADDRESS",
[].addresses[].date,"A data em que o endereço foi adicionado aos registros da entidade fiscal, no formato `YYYY-MM-DD`.",24-09-2010,string,date,Yes,No,,
[].addresses[].address,O endereço da entidade fiscal.,Calle Falsa 123,string,,Yes,No,,
[].emails,Um array de endereços de e-mail para a entidade fiscal.,,array,,No,No,,
[].emails[].type,"O tipo de e-mail. Pode ser:

- `CONTACT` (*Correo electrónico de contacto*)
- `NOTIFICATION` (*Correo electrónico para notificaciones*)
- `OTHER`.",CONTACT,string,,Yes,No,"CONTACT, NOTIFICATION, OTHER",
[].emails[].email,O endereço de e-mail da entidade fiscal.,mi-email@empresa.cl,string,email,Yes,No,,
[].phone_numbers,Um array de números de telefone para a entidade fiscal.,,array,,No,No,,
[].phone_numbers[].type,"O tipo de número de telefone. Pode ser:

  - `LANDLINE`
  - `MOBILE`
  - `OTHER`",LANDLINE,string,,Yes,Yes,"LANDLINE, MOBILE, OTHER, null",
[].phone_numbers[].number,O número de telefone da entidade fiscal.,123456789,string,,Yes,No,,
[].economic_activities,Um array de atividades econômicas para a entidade fiscal.,,array,,No,No,,
[].economic_activities[].type,"O tipo geral de atividade econômica, de acordo com o Servicio de Impuestos Internos (SII).",ASESORIA EN INGENIERIA,string,,Yes,No,,
[].economic_activities[].activity,"A atividade econômica específica, de acordo com o Servicio de Impuestos Internos (SII).",ACTIVIDADES DE CONSULTORIA DE GESTION,string,,Yes,No,,
[].economic_activities[].code,"O código de atividade econômica, de acordo com o Servicio de Impuestos Internos (SII).",702000,string,,Yes,No,,
[].economic_activities[].tax_category,"A categoria tributária da atividade econômica, de acordo com o Servicio de Impuestos Internos (SII).",1,integer,,Yes,No,,
[].economic_activities[].vat_affected,Indica se a atividade econômica é afetada pelo IVA.,True,boolean,,Yes,No,,
[].economic_activities[].start_date,"A data em que a entidade fiscal iniciou esta atividade econômica, no formato `YYYY-MM-DD`.",24-09-2010,string,date,Yes,No,,
[].legal_representative,Um array de representantes legais para a entidade fiscal.,,array,,No,No,,
