Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
id,Identificador único da Belvo para o item atual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,No,No,,
created_at,O carimbo de data e hora ISO-8601 de quando o ponto de dados foi criado no banco de dados da Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
collected_at,O carimbo de data/hora ISO-8601 quando o ponto de dados foi coletado.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
account,Detalhes sobre a conta.,,object,,No,Yes,,
account.id,Identificador único da Belvo para o item atual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,Yes,No,,
account.link,O `link.id` ao qual os dados pertencem.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,Yes,Yes,,
account.institution,Detalhes sobre a instituição.,,object,,Yes,No,,
account.institution.name,"O nome da instituição, conforme designado pela Belvo.",erebor_mx_retail,string,,No,No,,
account.institution.type,"O tipo de instituição. Retornamos um dos seguintes valores:

  - `bank`
  - `fiscal`
  - `employment`",,string,,No,No,"bank, fiscal, employment",
account.collected_at,O carimbo de data/hora ISO-8601 quando o ponto de dados foi coletado.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
account.created_at,O carimbo de data e hora ISO-8601 de quando o ponto de dados foi criado no banco de dados da Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
account.last_accessed_at,O timestamp ISO-8601 do acesso mais recente e bem-sucedido da Belvo à instituição para o link fornecido.,2021-03-09T10:28:40.000Z,string,date-time,Yes,Yes,,
account.category,"O tipo de conta.  
Retornamos um dos seguintes valores do enum:  
  - `ADVANCE_DEPOSIT_ACCOUNT`
  - `CHECKING_ACCOUNT`
  - `CREDIT_CARD`
  - `FINANCING_ACCOUNT`
  - `INVESTMENT_ACCOUNT`
  - `INVOICE_FINANCING_ACCOUNT`
  - `LOAN_ACCOUNT`
  - `PENSION_FUND_ACCOUNT`
  - `SAVINGS_ACCOUNT`
  - `UNCATEGORIZED`",CHECKING_ACCOUNT,string,,Yes,Yes,"ADVANCE_DEPOSIT_ACCOUNT, CHECKING_ACCOUNT, CREDIT_CARD, FINANCING_ACCOUNT, INVESTMENT_ACCOUNT, INVOICE_FINANCING_ACCOUNT, LOAN_ACCOUNT, PENSION_FUND_ACCOUNT, SAVINGS_ACCOUNT, UNCATEGORIZED",
account.balance_type,"Indica se esta conta é um `ASSET` ou um `LIABILITY`. Você pode considerar o saldo de um `ASSET` como positivo, enquanto o saldo de um `LIABILITY` como negativo.",ASSET,string,,Yes,Yes,,
account.overdraft,,,object,,No,Yes,,
account.overdraft.arranged,"O limite de cheque especial acordado entre o titular da conta e a instituição.

> **Não anulável:** Um valor deve ser retornado pela rede de open finance do Brasil se o campo `overdraft` estiver disponível.",5000.5,number,float,Yes,No,,"^\d{1,15}\.\d{2,4}$"
account.overdraft.used,"O valor do cheque especial utilizado.

> **Não anulável:** Um valor deve ser retornado pela rede de open finance do Brasil se o campo `overdraft` estiver disponível.",1000.5,number,float,Yes,No,,"^\d{1,15}\.\d{2,4}$"
account.overdraft.unarranged,"O cheque especial utilizado que não foi acordado entre o titular da conta e a instituição.

> **Non-nullable:** Um valor deve ser retornado pela rede de open finance do Brasil se o campo `overdraft` estiver disponível.",300.1,number,float,Yes,No,,"^\d{1,15}\.\d{2,4}$"
account.type,"O tipo de conta, conforme designado pela instituição.

> **Não anulável:** Um valor deve ser retornado pela rede de open finance do Brasil.",STANDARD_NACIONAL,string,,Yes,No,,
account.subtype,"O subtipo de conta, conforme designado pela instituição.

> **Não anulável:** Um valor deve ser retornado pela rede de open finance do Brasil.",FINANCIAMENTO_HABITACIONAL_SFH,string,,Yes,No,,
account.name,"O nome da conta, conforme fornecido pela instituição.",Cuenta Perfiles- M.N. - MXN-666,string,,Yes,Yes,,
account.number,"O número da conta, conforme designado pela instituição.",4057068115181,string,,Yes,Yes,,
account.agency,O código da agência onde o produto foi aberto.,6272,string,,Yes,Yes,,"^\d{1,4}$"
account.check_digit,"O dígito verificador do número do produto, se aplicável.",7,string,,Yes,Yes,,[\w\W\s]*
account.balance,Detalhes sobre os saldos atual e disponível para a conta.,,object,,Yes,No,,
account.balance.current,"O saldo atual é calculado de maneira diferente de acordo com o tipo de conta.

- **💰 Contas correntes e poupança**:

O saldo da conta do usuário no timestamp `collected_at`.

- **💳 Cartões de crédito**:

O valor que o usuário gastou no período de faturamento atual do cartão (consulte `credit_data.cutting_date` para informações sobre quando o período de faturamento atual termina).

- **🏡 Contas de empréstimo**:

O valor restante a pagar no empréstimo do usuário.",5874.13,number,float,Yes,Yes,,"^\d{1,15}\.\d{2,4}$"
account.balance.available,"O saldo que o titular da conta pode usar.

- **💰 Contas correntes e poupança**:

O saldo disponível pode ser diferente do saldo `current` devido a transações pendentes.

- **💳 Cartões de crédito**:

O valor de crédito que o usuário ainda tem disponível para o período atual. O valor é calculado como `credit_data.credit_limit` menos `balance.current`.

- **🏡 Contas de empréstimo**:

O valor presente necessário para quitar o empréstimo, conforme fornecido pela instituição.

**Nota:** Se a instituição não fornecer esse valor, retornamos `null`.",5621.12,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
account.balance.blocked,"O valor que está atualmente bloqueado devido a transações pendentes.

> **Não anulável:** Um valor deve ser retornado pela rede de open finance do Brasil se o campo `balances` estiver disponível.",60.32,number,float,No,No,,"^\d{1,15}\.\d{2,4}$"
account.balance.automatically_invested,"O valor que é automaticamente investido (conforme acordado com a instituição).

> **Não anulável:** Um valor deve ser retornado pela rede de open finance do Brasil se o campo `balances` estiver disponível.",131.5,number,float,No,No,,"^\d{1,15}\.\d{2,4}$"
account.currency,"O código de moeda de três letras (ISO-4217).

> **Não anulável:** Um valor deve ser retornado pela rede de open finance do Brasil se o campo `balances` estiver disponível.",BRL,string,,Yes,No,,^[A-Z]{3}$
account.public_identification_name,"O nome público para o tipo de identificação. Para contas de poupança e corrente brasileiras 🇧🇷, este campo será `AGENCY/ACCOUNT`.",AGENCY/ACCOUNT,string,,Yes,Yes,,
account.public_identification_value,"O valor para o `public_identification_name`.

Para contas de poupança e corrente 🇧🇷 OFDA brasileiras, este campo será o número da agência e da conta bancária, separados por uma barra. Por exemplo: `0444/45722-0`.

Para contas de cartão de crédito 🇧🇷 OFDA brasileiras, retornaremos uma string de números de cartão de crédito concatenados associados à conta. Por exemplo: ""8763,9076,5522""",0444/45722-0,string,,Yes,Yes,,
account.internal_identification,"A identificação interna da instituição para a conta.

> **Não anulável:** Um valor deve ser retornado pela rede de open finance do Brasil se o campo `balances` estiver disponível.",92792126019929279212650822221989319252576,string,,Yes,No,,"^[a-zA-Z0-9][a-zA-Z0-9-]{0,99}$"
account.credit_data,Detalhes sobre os cartões de crédito associados a esta conta.,,object,,Yes,Yes,,
account.credit_data.collected_at,O carimbo de data/hora ISO-8601 quando o ponto de dados foi coletado.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
account.credit_data.credit_limit,"O limite de crédito superior do cartão.

> **Não anulável:** Um valor deve ser retornado pela rede de open finance do Brasil.",192000.9,number,float,Yes,Yes,,"^\d{1,15}\.\d{2,4}$"
account.credit_data.limits,,,array,,No,No,,
account.credit_data.limits[].identification_number,"O número do cartão de crédito.

**Nota:** Frequentemente, são apenas os últimos quatro dígitos do cartão de crédito.

> **Não anulável:** Um valor deve ser retornado pela rede de open finance do Brasil.",4453,string,,Yes,Yes,,"^[a-zA-Z0-9][a-zA-Z0-9-]{0,99}$"
account.credit_data.limits[].credit_limit,O limite do cartão de crédito.,1000.04,number,float,Yes,Yes,,"^\d{1,15}\.\d{2,4}$"
account.credit_data.limits[].used_amount,A quantidade utilizada.,400.04,number,float,Yes,Yes,,"^\d{1,15}\.\d{2,4}$"
account.credit_data.limits[].available_amount,"O valor ainda disponível.

> **Non-nullable:** Um valor deve ser retornado pela rede de open finance do Brasil.",600,number,float,Yes,No,,"^\d{1,15}\.\d{2,4}$"
account.credit_data.limits[].is_limit_flexible,"Boolean para indicar se o `credit_limit` é flexível.

> **Não anulável:** Um valor deve ser retornado pela rede de open finance do Brasil.",False,boolean,,Yes,No,,
account.credit_data.limits[].type,"O tipo de limite. Retornamos um dos seguintes valores:

  - `TOTAL_LIMIT`
  - `MODAL_LIMIT`

  > **Não anulável:** Um valor deve ser retornado pela rede de open finance do Brasil.",TOTAL_LIMIT,string,,Yes,No,"TOTAL_LIMIT, MODAL_LIMIT",
account.credit_data.limits[].consolidation_type,"Indica se o limite de crédito é consolidado ou individual.

> **Não anulável:** Um valor deve ser retornado pela rede de open finance do Brasil.",INDIVIDUAL,string,,Yes,No,,
account.credit_data.limits[].line_name,O nome da linha de limite de crédito.,CREDITO_A_VISTA,string,,Yes,Yes,,
account.credit_data.limits[].line_name_additional_info,Informações adicionais sobre o nome da linha.,Informações adicionais e complementares,string,,Yes,Yes,,[\w\W\s]*
