Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
id,Identificador único da Belvo para o item atual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,No,No,,
link,O `link.id` ao qual os dados pertencem.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,No,Yes,,
collected_at,O carimbo de data/hora ISO-8601 quando o ponto de dados foi coletado.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
created_at,O carimbo de data e hora ISO-8601 de quando o ponto de dados foi criado no banco de dados da Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
informacion_general,"Informações gerais sobre a declaração de imposto (ano, RFC, tipo de declaração, nome da pessoa/empresa, etc.).",,object,,Yes,Yes,,
sueldos_salarios,Detalhes sobre as informações de renda juntamente com os impostos retidos.,,object,,Yes,Yes,,
servicios_profesionales,Detalhes sobre a renda e informações fiscais provenientes de serviços profissionais prestados.,,object,,Yes,Yes,,
deducciones_personales,Lista de todas as deduções fiscais pessoais.,,object,,Yes,Yes,,
determinacion_impuesto,Detalhes sobre a declaração de imposto final.,,object,,Yes,Yes,,
retenciones,Detalhes sobre os impostos já retidos.,,object,,Yes,Yes,,
dividendos,Detalhes sobre dividendos.,,object,,Yes,Yes,,
datos_informativos,Dados informativos adicionais na declaração de imposto.,,object,,No,Yes,,
pdf,Declaração de imposto em PDF como binário.,=PDF-STRING=,string,binary,Yes,Yes,,
receipt_pdf,O recibo de confirmação da instituição fiscal confirmando que eles receberam a declaração de imposto.,=PDF-STRING=,string,binary,Yes,Yes,,
