Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
id,Identificador único da Belvo para o item atual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,Yes,No,,
link,O `link.id` ao qual os dados pertencem.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,Yes,Yes,,
collected_at,O carimbo de data/hora ISO-8601 quando o ponto de dados foi coletado.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
created_at,O carimbo de data e hora ISO-8601 de quando o ponto de dados foi criado no banco de dados da Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
updated_at,O carimbo de data/hora ISO-8601 de quando o cálculo das métricas de emprego foi atualizado pela última vez.,2023-08-30T15:31:35.728607Z,string,date-time,Yes,Yes,,
reference_date,"A reference_date que você forneceu em sua solicitação. Se você não forneceu uma, este campo retornará `null`, indicando que os cálculos são realizados até a data da solicitação.

**Nota:** Todos os cálculos são relativos a esta data.",2023-06-01,string,date,Yes,Yes,,
age,A idade do indivíduo.,32,integer,int32,Yes,No,,
current_status,"Indica o status de emprego do indivíduo. Retornamos uma das seguintes respostas:

- `EMPLOYED`
- `RETIRED`
- `UNEMPLOYED`
- `null`",EMPLOYED,string,,Yes,No,"EMPLOYED, RETIRED, UNEMPLOYED, null",
current_employer_count,O número de empregadores que o indivíduo tem no momento.,1,integer,int32,Yes,Yes,,
base_salary_last,"O salário base mais recente do usuário. Se `current_status` for `EMPLOYED`, este é o salário base atual do usuário.",42.17,number,float,Yes,Yes,,
weeks_employed_last_job,"O número de semanas em que o usuário esteve empregado em seu último emprego. Se `current_status` for `EMPLOYED`, então este campo indica o número de semanas em que o usuário está empregado em seu emprego atual.",327.1429,number,float,Yes,Yes,,
weeks_since_last_job,"O número de semanas desde o último emprego. Se o valor deste campo for `0`, isso indica que o usuário está atualmente empregado.",0,number,float,Yes,Yes,,
