Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
collected_at,O carimbo de data/hora ISO-8601 quando o ponto de dados foi coletado.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
created_at,O carimbo de data e hora ISO-8601 de quando o ponto de dados foi criado no banco de dados da Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
employment_records,Detalhes sobre o histórico de emprego do indivíduo.,,array,,No,No,,
employment_records[].collected_at,O carimbo de data/hora ISO-8601 quando o ponto de dados foi coletado.,2020-04-23T21:32:55.336854+00:00,string,date-time,No,No,,
employment_records[].currency,O código de moeda de três letras em que o salário é pago.,MXN,string,,No,No,,
employment_records[].employer,"O nome oficial do empregador.

>**Nota**: Para o ISSSTE México, este é o nome oficial da entidade junto com a entidade responsável por gerenciar as informações do empregado, separados por um ponto e vírgula (`;`). Por exemplo: SECRETARIA DE EDUCACION PUBLICA (SEP);SECRETARIA DE EDUCACION PUBLICA (SEP).",Batman Enterprises CDMX,string,,No,No,,
employment_records[].employer_id,"O ID oficial do empregador, de acordo com o país.

>**Nota**: Para ISSSTE México, este valor retornará `null`.",780-BAT-88769-CDMX,string,,No,Yes,,
employment_records[].employment_status_updates,Detalhes sobre quaisquer mudanças de emprego do indivíduo.,,array,,No,Yes,,
employment_records[].employment_status_updates[].base_salary,"O salário base do indivíduo, atualizado na `update_date`.

  - Para o IMSS México, esse valor é calculado incluindo os benefícios aos quais o indivíduo tem direito ao longo do ano.
  - Para o ISSSTE México, esse valor é calculado excluindo os benefícios do indivíduo.",1033.09,number,float,No,No,,
employment_records[].employment_status_updates[].event,"Para o IMSS México, este é o evento que causou a mudança no status de emprego ou salário. Retornamos um dos seguintes valores:

- `DISMISSED_RESIGNED`: O funcionário foi demitido ou pediu demissão.
- `SALARY_MODIFICATION`: O funcionário recebeu uma modificação salarial (aumento ou diminuição).
- `HIRED`: O funcionário foi contratado.
- `VOLUNTARY_CONTRIBUTION`: O funcionário fez uma contribuição voluntária ao IMSS.
- `ABSENCE`: O funcionário estava ausente (como em férias).
- `SICK_LEAVE`: O funcionário estava de licença médica.

Para o ISSSTE México, esta é a fonte de informação sobre a mudança no status de emprego ou salário. Retornamos um dos seguintes valores:

- `NORMAL`: Indica que a informação foi recebida do **Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado (ISSSTE)**.
- `BDUTA_CERTIFICATE`: Indica que a informação foi recebida do banco de dados central, **Base de Datos Única de Trabajadores Activos (BDUTA)**.
- `DYE_CERTIFICATE`: Indica que a informação foi recebida de uma instituição afiliada, **Dependencia y Entidad (DYE)**.",HIRED,string,,No,Yes,"DISMISSED_RESIGNED, SALARY_MODIFICATION, HIRED, VOLUNTARY_CONTRIBUTION, ABSENCE, SICK_LEAVE, NORMAL, BDUTA_CERTIFICATE, DYE_CERTIFICATE",
employment_records[].employment_status_updates[].update_date,"A data em que o evento de emprego ocorreu, no formato `YYYY-MM-DD`.",2021-09-01,string,date,No,No,,
employment_records[].end_date,"Data de término do emprego, no formato `YYYY-MM-DD`.

>**Nota**: Este campo retornará `null` para o emprego atual do usuário.",2019-12-31,string,date,No,Yes,,
employment_records[].monthly_salary,"O salário mensal do indivíduo, incluindo quaisquer benefícios adicionais.

- Para o IMSS México, este valor é calculado incluindo os benefícios aos quais o indivíduo tem direito ao longo do ano.
- Para o ISSSTE México, este valor é calculado excluindo os benefícios.",,number,float,No,No,,
employment_records[].most_recent_base_salary,"O salário base mais recente que o indivíduo recebeu.

- Para o IMSS México, esse valor é calculado incluindo os benefícios aos quais o indivíduo tem direito ao longo do ano.
- Para o ISSSTE México, esse valor é calculado dividindo o `monthly_salary` por 30 (dias) e exclui os benefícios do indivíduo.",762.54,number,float,No,No,,
employment_records[].start_date,"Data de início do emprego, no formato `YYYY-MM-DD`.",2019-10-10,string,date,No,No,,
employment_records[].state,"Em que estado geográfico o indivíduo estava empregado, de acordo com o país.

>**Nota**: Para ISSSTE México, este valor retornará `null`.",DISTRITO FEDERAL,string,,No,Yes,,
employment_records[].weeks_employed,Número de semanas em que o indivíduo esteve empregado.,12,integer,int32,No,No,,
