Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
balance_sheet,"O balanço patrimonial detalhando os ativos, passivos e patrimônio líquido da empresa para o ano em questão.",,object,,Yes,No,,
balance_sheet.current_assets,Os ativos circulantes da empresa para o ano em questão.,,object,,No,No,,
balance_sheet.current_assets.accounts_receivable,"O valor devido pelos clientes por vendas realizadas a crédito, que se espera receber em um curto período.",154321,number,float,Yes,Yes,,
balance_sheet.current_assets.assets_available_for_sale,"O valor dos ativos não circulantes que estão disponíveis para venda, mas ainda não foram vendidos, como equipamentos excedentes ou propriedades.",54321,number,float,Yes,Yes,,
balance_sheet.current_assets.bad_debt_provision,"O valor estimado de recebíveis que se espera serem incobráveis, frequentemente referido como provisão para devedores duvidosos.",0,number,float,Yes,Yes,,
balance_sheet.current_assets.cash_and_equivalents,"O montante total de caixa e equivalentes de caixa, incluindo moeda, contas bancárias e outros investimentos líquidos que podem ser rapidamente convertidos em dinheiro.",48572,number,float,Yes,Yes,,
balance_sheet.current_assets.inventory,"O valor total dos bens disponíveis para venda, matérias-primas, produtos em processo e produtos acabados.",65432,number,float,Yes,Yes,,
balance_sheet.current_assets.notes_receivable,"O valor de notas promissórias escritas recebidas de clientes ou outras partes, prometendo pagar um valor especificado até uma determinada data.",31789,number,float,Yes,Yes,,
balance_sheet.current_assets.other_debtors,"Os valores totais devidos por vários outros devedores, excluindo contas a receber e notas promissórias.",12345,number,float,Yes,Yes,,
balance_sheet.current_assets.prepaid_expenses,"O valor pago antecipadamente por bens ou serviços a serem recebidos no futuro, como prêmios de seguro ou aluguel.",14321,number,float,Yes,Yes,,
balance_sheet.current_assets.short_term_investments,"O valor dos investimentos que se espera serem liquidados em dinheiro dentro de um ano, como títulos negociáveis.",21345,number,float,Yes,Yes,,
balance_sheet.current_assets.tax_recoverable,O valor dos pagamentos de impostos que pode ser recuperado das autoridades fiscais.,8976,number,float,Yes,Yes,,
balance_sheet.current_assets.total,"A soma de todos os ativos circulantes, representando o valor total dos ativos que se espera serem convertidos em caixa ou utilizados dentro de um ano.",372480,number,float,Yes,Yes,,
balance_sheet.current_liabilities,"Os passivos circulantes da empresa, que se espera serem liquidados dentro do ano em questão.",,object,,No,No,,
balance_sheet.current_liabilities.accounts_payable,"O valor devido aos fornecedores por bens ou serviços adquiridos a crédito, que se espera ser pago dentro de um curto período.",103298,number,float,Yes,Yes,,
balance_sheet.current_liabilities.bank_loans,"O valor total dos empréstimos contraídos de bancos ou instituições financeiras, com expectativa de serem pagos dentro de um ano.",49876,number,float,Yes,Yes,,
balance_sheet.current_liabilities.customer_advances,"O valor total recebido antecipadamente de clientes por bens ou serviços a serem entregues no futuro, esperado para ser utilizado dentro de um ano.",18765,number,float,Yes,Yes,,
balance_sheet.current_liabilities.financial_instruments,"O valor dos instrumentos financeiros que se espera serem liquidados em dinheiro dentro de um ano, como títulos, debêntures e empréstimos de curto prazo.",14321,number,float,Yes,Yes,,
balance_sheet.current_liabilities.income_tax_payable,"O valor do imposto de renda devido às autoridades fiscais, que se espera ser pago em um curto período.",12765,number,float,Yes,Yes,,
balance_sheet.current_liabilities.notes_payable,"O valor das notas promissórias escritas emitidas para fornecedores ou outros, prometendo pagar um valor especificado até uma determinada data.",25643,number,float,Yes,Yes,,
balance_sheet.current_liabilities.other_creditors,"Os valores totais devidos a vários outros credores, excluindo contas a pagar e notas promissórias.",21987,number,float,Yes,Yes,,
balance_sheet.current_liabilities.provisions,"O valor estimado reservado para passivos ou perdas futuras, como garantias, reivindicações legais ou custos de reestruturação.",10987,number,float,Yes,Yes,,
balance_sheet.current_liabilities.taxes_payable,"O valor total de impostos devidos às autoridades fiscais, que se espera ser pago em um curto período.",5321,number,float,Yes,Yes,,
balance_sheet.current_liabilities.total,"A soma de todos os passivos circulantes, representando o valor total das obrigações que se espera serem liquidadas dentro de um ano.",260963,number,float,Yes,Yes,,
balance_sheet.equity,"O patrimônio líquido da empresa, representando o interesse residual nos ativos após a dedução dos passivos.",,object,,No,No,,
balance_sheet.equity.controlling_interest,"O interesse de propriedade na empresa detido pela entidade controladora ou pelos acionistas majoritários, representando a participação controladora no negócio.",70876,number,float,Yes,Yes,,
balance_sheet.equity.non_controlling_interest,"O interesse de propriedade na empresa detido por acionistas minoritários, representando a participação não controladora no negócio.",50321,number,float,Yes,Yes,,
balance_sheet.equity.other_comprehensive_income,"Os ganhos ou perdas que não estão incluídos no lucro líquido, mas são reportados diretamente no patrimônio, como ganhos não realizados em investimentos ou ajustes de tradução de moeda estrangeira.",10987,number,float,Yes,Yes,,
balance_sheet.equity.retained_earnings,Os lucros ou prejuízos acumulados da empresa que não foram distribuídos aos acionistas como dividendos.,202345,number,float,Yes,Yes,,
balance_sheet.equity.stockholders_equity,"O valor total das ações emitidas pela empresa, representando o interesse de propriedade dos acionistas no negócio.",501234,number,float,Yes,Yes,,
balance_sheet.equity.total,"A soma do capital social, lucros retidos, outros resultados abrangentes, participação controladora e participação não controladora, representando o patrimônio total da empresa.",836763,number,float,Yes,Yes,,
balance_sheet.non_current_assets,"Os ativos não circulantes da empresa, que são investimentos de longo prazo ou propriedades que não são facilmente convertidos em dinheiro, para o ano em questão.",,object,,No,No,,
balance_sheet.non_current_assets.goodwill,"O valor dos ativos intangíveis que surgem da aquisição de outras empresas, representando o ágio pago sobre o valor justo dos ativos líquidos adquiridos.",47654,number,float,Yes,Yes,,
balance_sheet.non_current_assets.intangible_assets,"O valor total dos ativos intangíveis de propriedade da empresa, como patentes, marcas registradas e direitos autorais, com vidas úteis que se estendem além de um ano.",43210,number,float,Yes,Yes,,
balance_sheet.non_current_assets.investments_in_associates,"O valor dos investimentos em outras empresas nas quais a companhia tem influência significativa, mas não controle, tipicamente representado pela posse de 20-50% das ações com direito a voto do associado.",65432,number,float,Yes,Yes,,
balance_sheet.non_current_assets.long_term_accounts_receivable,"O valor devido pelos clientes por vendas feitas a crédito, esperado para ser recebido após um ano.",10987,number,float,Yes,Yes,,
