Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
acknowledged_at,O carimbo de data e hora ISO-8601 de quando a fatura foi reconhecida como recebida.,2024-09-02T15:23:47-03:00,string,date-time,No,No,,
category,"A categoria da fatura, de acordo com a instituição.",Del Giro,string,,No,No,,
claim_date,"A data em que uma reclamação ou disputa foi levantada sobre a fatura, no formato `YYYY-MM-DD`.",,string,date,No,Yes,,^\d{4}-\d{2}-\d{2}$
collected_at,O carimbo de data/hora ISO-8601 quando o ponto de dados foi coletado.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
created_at,O carimbo de data e hora ISO-8601 de quando o ponto de dados foi criado no banco de dados da Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
currency,O código de moeda de três letras (ISO-4217) da fatura.,CLP,string,,No,No,,^[A-Z]{3}$
document_code,"Um código que indica se o documento é uma fatura, uma nota de crédito ou débito, e assim por diante.",33,integer,,No,No,,
folio,O código único da instituição para a fatura.,23559723,string,,No,No,,
id,Identificador único da Belvo para o item atual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,No,No,,
issue_date,"A data em que a fatura foi emitida, no formato `YYYY-MM-DD`.",2024-09-23,string,date,No,No,,^\d{4}-\d{2}-\d{2}$
link,O `link.id` ao qual os dados pertencem.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,No,Yes,,
net_amount,O valor total da fatura após o IVA e outros impostos.,2750000.02,number,float,No,No,,"^\d{1,15}\.\d{2,4}$"
purchase_invoice_details,"Detalhes sobre a nota fiscal de compra. Se a nota fiscal for uma nota de venda (`type` = `OUTFLOW`), este campo retornará `null`.",,object,,No,Yes,,
purchase_invoice_details.additional_tax_amount,O valor total do imposto do imposto adicional.,1005.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
purchase_invoice_details.additional_tax_code,O código tributário para o imposto adicional.,50993,integer,int32,No,Yes,,
purchase_invoice_details.additional_tax_rate,A alíquota do imposto adicional.,2.1,string,,No,Yes,,
purchase_invoice_details.credit_or_debit_note_on_purchase,Indica se a fatura está vinculada a uma nota de crédito ou débito.,False,boolean,,No,Yes,,
purchase_invoice_details.net_amount_fixed_assets,O valor líquido dos ativos fixos adquiridos.,8000.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
purchase_invoice_details.tax_cigar_amount,O valor total do imposto aplicado sobre charutos.,51.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
purchase_invoice_details.tax_cigarettes_amount,O valor total do imposto aplicado sobre cigarros.,50.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
purchase_invoice_details.tax_exempt_amount,A parte da compra que é isenta de IVA.,33.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
purchase_invoice_details.tax_non_credit_amount,O valor do imposto que não pode ser reivindicado como crédito.,5.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
purchase_invoice_details.tax_processed_tobacco_amount,O valor total do imposto aplicado sobre o tabaco processado.,49.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
purchase_invoice_details.vat_common_use,O IVA que se aplica a compras usadas para fins tanto tributáveis quanto não tributáveis.,129.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
purchase_invoice_details.vat_fixed_assets,O valor do IVA na compra de ativos fixos.,80.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
purchase_invoice_details.vat_non_refundable_amount,O valor do IVA pago que não pode ser recuperado como crédito fiscal.,20.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
purchase_invoice_details.vat_non_refundable_code,Um código que identifica o motivo pelo qual o VAT não é recuperável.,90,integer,int32,No,Yes,,
purchase_invoice_details.vat_non_withheld,O valor do IVA que não foi retido pelo comprador.,8.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
purchase_invoice_details.vat_refundable_amount,O valor do IVA pago que é elegível para ser reivindicado como crédito fiscal.,300.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
received_at,O carimbo de data/hora ISO-8601 de quando a fatura foi recebida.,2024-09-02T15:23:47-03:00,string,date-time,No,No,,
receiver_id,"O número de identificação do receptor. Para o SII Chile, este é o RUT.",82136549-6,string,,No,No,,
receiver_name,O nome registrado do receptor.,Alejandra Gonzalez,string,,No,No,,
sales_invoice_details,"Detalhes sobre a nota fiscal de vendas. Se a nota fiscal for uma nota de compra (`type` = `INFLOW`), este campo retornará `null`.",,object,,No,Yes,,
sales_invoice_details.additional_tax_amount,O valor total do imposto do imposto adicional.,1005.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
sales_invoice_details.additional_tax_code,O código tributário para o imposto adicional.,50993,integer,,No,Yes,,
sales_invoice_details.additional_tax_rate,A alíquota do imposto adicional.,2.1,string,,No,Yes,,
sales_invoice_details.branch_code,O código da filial fiscal onde a nota fiscal de vendas foi emitida.,76129014,integer,int32,No,Yes,,
sales_invoice_details.construction_sector_tax_credit,O valor do crédito fiscal aplicável para empresas de construção.,50000.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
sales_invoice_details.container_deposit_guarantee,"Refere-se a depósitos ou garantias em recipientes, se aplicável.",0.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
sales_invoice_details.credit_or_debit_note_on_purchase,Indica se a fatura está vinculada a uma nota de crédito ou débito.,False,boolean,,No,Yes,,
sales_invoice_details.domestic_transportation_amount,O valor total gasto em transporte doméstico.,67.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
sales_invoice_details.foreign_recipient_id,O número de identificação de um indivíduo estrangeiro.,JANM-7820234,string,,No,Yes,,
sales_invoice_details.foreign_recipient_nationality,A nacionalidade do indivíduo estrangeiro.,Peru,string,,No,Yes,,
sales_invoice_details.international_transportation_amount,O valor total gasto em transporte internacional.,56.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
sales_invoice_details.invoice_settlement_exempt_commission,A parte da comissão na liquidação da fatura que está isenta de impostos.,16.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
sales_invoice_details.invoice_settlement_net_commission,O valor líquido da comissão na liquidação da fatura.,54.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
sales_invoice_details.invoice_settlement_sender_id,O RUT da entidade que emitiu a liquidação para a fatura.,55524768-7,string,,No,Yes,,
sales_invoice_details.invoice_settlement_vat_commission,IVA cobrado sobre o valor da comissão na liquidação da fatura.,78.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
sales_invoice_details.is_free_of_charge,"Indique se esta venda foi feita sem custo (por exemplo, a fatura é para material promocional, reabastecimentos periódicos gratuitos e similares).",False,boolean,,No,Yes,,
sales_invoice_details.non_billable_amount,A parte da transação que não é faturável.,40.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
sales_invoice_details.periodic_billing_type,Marca se a fatura é para serviços periódicos.,False,boolean,,No,Yes,,
sales_invoice_details.reference_document_folio,O número do fólio do documento referido.,,string,,No,Yes,,
sales_invoice_details.reference_document_type,Indica o tipo de documento ao qual esta fatura se refere ou está vinculada.,,string,,No,Yes,,
sales_invoice_details.tax_exempt_amount,A parte da venda que é isenta de IVA.,4000.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
sales_invoice_details.tax_free_trade_zone_amount,Imposto aplicável para transações em zonas de livre comércio.,38490.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
sales_invoice_details.total_amount_for_period,"O valor total para um período específico, frequentemente usado para faturamento periódico.",,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
sales_invoice_details.vat_non_withheld,O valor do IVA que não foi retido.,40.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
sales_invoice_details.vat_partially_withheld,O valor do IVA parcialmente retido.,30.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
sales_invoice_details.vat_past_due,IVA que é contabilizado ou pago após a data de vencimento.,31.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
sales_invoice_details.vat_sales,O valor do IVA correspondente às próprias vendas do vendedor.,100.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
sales_invoice_details.vat_third_party,Valor do IVA relacionado a vendas de terceiros ao atuar como intermediário.,1000.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
sales_invoice_details.vat_total_withheld,O total do IVA retido.,33.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
sender_id,"O número de identificação do remetente. Para o SII Chile, este é o RUT.",59324768-2,string,,No,No,,
sender_name,O nome registrado do remetente.,Cafe del Sur,string,,No,No,,
status,"O status da fatura. Pode ser:

  - `REGISTERED`
  - `PENDING`
  - `REJECTED`
  - `CANCELLED`",REGISTERED,string,,No,No,,
