Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
address,O endereço registrado do proprietário das contas.,"Carrer de la Llacuna, 162, 08018 Barcelona",string,,Yes,Yes,,
business_name,"*Este campo foi descontinuado. Para mais informações sobre a Belvo e descontinuação, consulte nossa explicação sobre Campos descontinuados.*

*O nome do negócio.*",,string,,No,Yes,,
collected_at,O carimbo de data/hora ISO-8601 quando o ponto de dados foi coletado.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
created_at,O carimbo de data e hora ISO-8601 de quando o ponto de dados foi criado no banco de dados da Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
display_name,"O nome completo do proprietário, conforme fornecido pelo banco.",John Doe,string,,Yes,Yes,,
document_id,Informações sobre o documento de identificação que o proprietário forneceu ao banco.,,object,,No,Yes,,
document_id.document_number,O número de identificação do documento.,235578435-S,string,,Yes,Yes,,
document_id.document_type,"O tipo de documento que o proprietário forneceu à instituição para abrir a conta. Tipos comuns de documentos são:

🇧🇷 Brasil
- `CPF` (*Cadastro de Pessoas Físicas*)
- `CNPJ` (*Cadastro Nacional de Pessoas Jurídicas*)

🇨🇴 Colômbia
- `CC` (*Cédula de Ciudadanía*)
- `NIT` (*Número de Identificación Tributaria*)

🇲🇽 México
- `CURP` (*Clave Única de Registro de Población*)
- `NSS` (*Número de Seguridad Social*)
- `RFC` (*Registro Federal de Contribuyentes*)",CPF,string,,Yes,Yes,,
email,O endereço de e-mail registrado do proprietário da conta.,johndoe@belvo.com,string,email,Yes,Yes,,
first_name,"*Este campo foi descontinuado. Para mais informações sobre Belvo e descontinuação, consulte nossa explicação sobre Campos descontinuados.*

*O primeiro nome do titular da conta.*",,string,,No,Yes,,
id,Identificador único da Belvo para o item atual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,Yes,No,,
internal_identification,O identificador interno da instituição para o proprietário.,7e5838e4,string,,Yes,Yes,,
last_name,"*Este campo foi descontinuado. Para mais informações sobre a Belvo e descontinuação, consulte nossa explicação sobre Campos descontinuados.*

*O sobrenome do titular da conta.*",,string,,No,Yes,,
link,O `link.id` ao qual os dados pertencem.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,Yes,Yes,,
phone_number,O número de telefone registrado do proprietário da conta.,+52-XXX-XXX-XXXX,string,,Yes,Yes,,
second_last_name,"*Este campo foi descontinuado. Para mais informações sobre a Belvo e descontinuação, consulte nossa explicação sobre Campos descontinuados.*

*O segundo sobrenome do titular da conta.*",,string,,No,Yes,,
