Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
[].id,Identificador único da Belvo para o item atual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,No,No,,
[].account,"Detalhes sobre a conta.

**Nota**: Para o nosso recurso de despesas recorrentes, esta conta está relacionada à conta que foi analisada para gerar o relatório de despesas recorrentes.",,object,,Yes,Yes,,
[].account.id,Identificador único da Belvo para o item atual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,No,No,,
[].account.link,O `link.id` ao qual os dados pertencem.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,No,Yes,,
[].account.institution,Detalhes sobre a instituição.,,object,,No,No,,
[].account.institution.name,"O nome da instituição, conforme designado pela Belvo.",erebor_mx_retail,string,,No,No,,
[].account.institution.type,"O tipo de instituição. Retornamos um dos seguintes valores:

  - `bank`
  - `fiscal`
  - `employment`",,string,,No,No,"bank, fiscal, employment",
[].account.collected_at,O carimbo de data/hora ISO-8601 quando o ponto de dados foi coletado.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
[].account.created_at,O carimbo de data e hora ISO-8601 de quando o ponto de dados foi criado no banco de dados da Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
[].account.category,"O tipo de conta.  
Retornamos um dos seguintes valores do enum:  
  - `CHECKING_ACCOUNT`
  - `CREDIT_CARD`
  - `INVESTMENT_ACCOUNT`
  - `LOAN_ACCOUNT`
  - `PENSION_FUND_ACCOUNT`
  - `SAVINGS_ACCOUNT`
  - `UNCATEGORIZED`
  - `null`",CHECKING_ACCOUNT,string,,Yes,Yes,"CHECKING_ACCOUNT, CREDIT_CARD, INVESTMENT_ACCOUNT, LOAN_ACCOUNT, PENSION_FUND_ACCOUNT, SAVINGS_ACCOUNT, UNCATEGORIZED, None",
[].account.balance_type,"Indica se esta conta é um `ASSET` ou um `LIABILITY`. Você pode considerar o saldo de um `ASSET` como positivo, enquanto o saldo de um `LIABILITY` como negativo.",ASSET,string,,Yes,Yes,,
[].account.type,"O tipo de conta, conforme designado pela instituição.",Cuentas de efectivo,string,,Yes,Yes,,
[].account.name,"O nome da conta, conforme fornecido pela instituição.",Cuenta Perfiles- M.N. - MXN-666,string,,Yes,Yes,,
[].account.number,"O número da conta, conforme designado pela instituição.",4057068115181,string,,Yes,Yes,,
[].account.balance,Detalhes sobre os saldos atual e disponível para a conta.,,object,,Yes,No,,
