Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
[].accounts,"Um array de números de conta gerados pela Belvo (UUIDs) que foram usados durante a análise de insights de risco. Se nenhuma conta for encontrada, retornamos um array vazio.","[""0d3ffb69-f83b-456e-ad8e-208d0998d71d"", ""00293c8e-1152-440b-9892-3c071fb88672"", ""cf638fba-ef45-4c10-bc6f-adecc4b2bf4e"", ""3861a5da-ae9b-4f20-a632-a9294489d5ac"", ""1f60315b-236d-498e-be7a-92bc613d329b"", ""a2c8da63-ed51-41e6-891a-4ae7e784463a""]",array,,Yes,Yes,,
[].assets_metrics,"Agregue detalhes sobre os ativos utilizados na análise de percepção de risco. Para métricas de ativos, consideramos apenas contas correntes e contas de poupança.

> As métricas de ativos podem fornecer uma visão geral da riqueza e dos ativos líquidos do seu usuário, indicando como eles gerenciam sua riqueza e seu status financeiro atual.",,object,,Yes,Yes,,
[].assets_metrics.checking_accounts_balance,O saldo total de fechamento de todas as contas correntes.,35901.46,number,float,Yes,Yes,,
[].assets_metrics.institutions,"Um array de instituições das quais as informações da conta foram recuperadas para o usuário.

> **Nota**: Para a maioria dos casos de uso, este array retornará apenas um item.","[""erebor_mx_retail""]",array,,Yes,Yes,,
[].assets_metrics.num_assets_accounts,O número total de contas encontradas para o usuário.,1,integer,int32,No,Yes,,
[].assets_metrics.num_checking_accounts,O número total de contas correntes encontradas para o usuário.,1,integer,int32,Yes,Yes,,
[].assets_metrics.num_savings_accounts,O número total de contas poupança encontradas para o usuário.,1,integer,int32,Yes,Yes,,
[].assets_metrics.savings_accounts_balance,O saldo total de fechamento de todas as contas poupança.,300.02,number,float,Yes,Yes,,
[].balances_metrics,Métricas de saldo calculadas com base nos saldos do usuário em contas correntes e de poupança.,,object,,Yes,Yes,,
[].balances_metrics.balance_threshold_x,"O limite usado para calcular `days_balance_below_x_period`. Por favor, note que este valor é específico para cada país (tanto em termos de quantia quanto de moeda).",1000,number,float,Yes,No,,
[].balances_metrics.balance_trend_12m,A tendência de saldo do usuário nos últimos doze meses.,22.6,number,float,Yes,Yes,,
[].balances_metrics.balance_trend_1m,A tendência de saldo do usuário no último mês.,22.6,number,float,Yes,Yes,,
[].balances_metrics.balance_trend_1w,A tendência de saldo do usuário na última semana.,290.18,number,float,Yes,Yes,,
[].balances_metrics.balance_trend_3d,A tendência de saldo do usuário nos últimos três dias.,193.51,number,float,Yes,Yes,,
[].balances_metrics.balance_trend_3m,A tendência de saldo do usuário nos últimos três meses.,22.6,number,float,Yes,Yes,,
[].balances_metrics.balance_trend_6m,A tendência de saldo do usuário nos últimos seis meses.,22.6,number,float,Yes,Yes,,
