Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
address,Os detalhes do endereço do contribuinte.,,object,,Yes,Yes,,
address.between_street,Informações adicionais sobre onde a `street` está localizada.,,array,,No,Yes,,
address.between_street[].street_one,A primeira rua entre a qual `street` está localizada.,CALLE PRINCIPE,string,,No,Yes,,
address.between_street[].street_two,A segunda rua entre a qual `street` está localizada.,CALLE NUEVA ROMA,string,,No,Yes,,
address.exterior_number,O número da rua.,432,string,,No,Yes,,
address.interior_number,Informações adicionais do endereço.,PLANTA BAJA,string,,No,Yes,,
address.locality,A localidade do endereço.,none,string,,No,Yes,,
address.municipality,O município do endereço.,CDMX DC,string,,No,Yes,,
address.postal_code,O código postal do endereço.,21255,string,,Yes,Yes,,
address.state,O estado em que o endereço está.,Federal,string,,No,Yes,,
address.street,A rua dos contribuintes.,LA MALINCHE,string,,No,Yes,,
address.street_type,O tipo `street`.,CALLE,string,,No,Yes,,
address.suburb,O subúrbio do contribuinte.,BUENAVENTURA,string,,No,Yes,,
collected_at,O carimbo de data/hora ISO-8601 quando o ponto de dados foi coletado.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
created_at,O carimbo de data e hora ISO-8601 de quando o ponto de dados foi criado no banco de dados da Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
digital_stamp,O certificado de validação do documento.,"||2020/04/26|GHTF980303F7|CONSTANCIA DE SITUACIÓN
FISCAL|2044441088666600000034||
",string,,Yes,Yes,,
digital_stamp_chain,"Uma cadeia de dados contendo a estrutura básica de um cheque fiscal digital. Para o México, este é o *Comprobante Fiscal Digital por Internet* (CFDI).","EtenSA9t1adG7bn+Jj23kj43JK+XbMPxdOppwabhXD+pXseSqYowWWDna0mpUk3264lkj2345j23faNZB852dCDt9KAjow=
",string,,Yes,Yes,,
economic_activity,Uma lista de objetos de atividade econômica.,,array,,Yes,Yes,,
economic_activity[].economic_activity,A descrição da atividade econômica.,Asalariado,string,,No,Yes,,
economic_activity[].end_date,"A data de término da atividade econômica, no formato `YYYY-MM-DD`.",,string,date,No,Yes,,
economic_activity[].initial_date,"A data de início da atividade econômica, no formato `YYYY-MM-DD`.",2020-12-06,string,,No,Yes,,
economic_activity[].order,A ordem da atividade econômica.,2,string,,No,Yes,,
economic_activity[].percentage,A porcentagem da atividade econômica.,1,string,,No,Yes,,
id,Identificador único da Belvo para o item atual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,Yes,No,,
id_cif,O *Cédula de Identificación Fiscal* (CIF) ID do contribuinte.,12345678901,string,,Yes,Yes,,
link,O `link.id` ao qual os dados pertencem.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,Yes,Yes,,
obligations,"Detalhes sobre as obrigações de uma empresa.

ℹ️ Para contas não comerciais, este campo retornará vazio.",,array,,Yes,Yes,,
obligations[].end_date,"A data em que a obrigação terminou, no formato `YYYY-MM-DD`.",,string,date,No,Yes,,
obligations[].expiration,"O prazo para cumprir a obrigação, conforme imposto pela autoridade fiscal.",Conjuntamente con la declaración anual del ejercicio.,string,,No,Yes,,
obligations[].initial_date,"A data em que a obrigação começou, no formato `YYYY-MM-DD`.",2020-12-06,string,date,No,Yes,,
obligations[].obligation,A descrição da obrigação.,Declaración informativa de IVA con la anual de ISR,string,,No,Yes,,
official_name,O nome da pessoa ou empresa.,John Doe,string,,Yes,Yes,,
pdf,PDF de status fiscal como uma string binária.,=PDF-STRING=,string,binary,Yes,Yes,,
place_and_date_of_issuance,O local e a data em que o status fiscal foi emitido.,"TLALPAN , CIUDAD DE MEXICO A 19 DE MARZO DE 2020",string,,Yes,Yes,,
regimes,Uma lista de objetos de regime.,,array,,Yes,Yes,,
regimes[].end_date,"A data de término do regime, no formato `YYYY-MM-DD`.",,string,date,Yes,Yes,,
regimes[].initial_date,"A data de início do regime, no formato `YYYY-MM-DD`.",2020-12-06,string,date,Yes,Yes,,
regimes[].regimen,A descrição do regime.,Régimen de Ingresos por Dividendos (socios y accionistas),string,,Yes,Yes,,
